      w0,       x
     108,      36
      36,      12
      36,      12
     -33,     -11
       0,       0
      54,      18
      72,      24
      33,      11
      24,       8
      75,      25
      48,      16
      63,      21
      -3,      -1
      48,      16
      27,       9
      78,      26
      24,       8
      36,      12
      48,      16
      66,      22
      12,       4
      24,       8
      42,      14
      48,      16
      24,       8
      18,       6
      69,      23
     -18,      -6
      78,      26
      27,       9
      24,       8
      45,      15
      42,      14
      24,       8
      57,      19
      81,      27
      21,       7
      30,      10
      81,      27
      90,      30
      30,      10
      33,      11
       0,       0
      51,      17
      12,       4
      24,       8
      39,      13
      72,      24
       0,       0
      57,      19
      -3,      -1
      42,      14
      54,      18
      39,      13
      12,       4
      48,      16
     120,      40
      18,       6
      -6,      -2
      63,      21
      21,       7
      12,       4
      66,      22
       3,       1
      24,       8
      51,      17
      21,       7
      57,      19
      24,       8
      15,       5
      -3,      -1
      42,      14
      -6,      -2
      45,      15
      30,      10
      18,       6
      39,      13
      57,      19
       0,       0
      60,      20
      57,      19
      21,       7
      51,      17
      21,       7
      21,       7
      30,      10
      24,       8
      72,      24
       0,       0
      18,       6
      42,      14
       6,       2
      21,       7
      63,      21
      15,       5
      18,       6
       9,       3
      27,       9
     -15,      -5
      39,      13
      39,      13
      48,      16
      57,      19
      33,      11
      81,      27
      15,       5
      54,      18
      24,       8
      72,      24
       6,       2
     -36,     -12
      51,      17
       3,       1
      24,       8
      69,      23
      12,       4
      90,      30
      30,      10
      72,      24
      51,      17
      21,       7
      24,       8
      93,      31
     -15,      -5
      78,      26
      30,      10
      27,       9
     102,      34
       6,       2
      66,      22
     -36,     -12
      75,      25
     -27,      -9
      48,      16
      54,      18
      33,      11
      18,       6
      48,      16
      78,      26
      30,      10
      30,      10
      66,      22
      72,      24
      27,       9
      36,      12
      66,      22
      42,      14
      36,      12
      45,      15
      -6,      -2
      33,      11
      48,      16
       6,       2
      39,      13
      42,      14
      30,      10
      69,      23
      45,      15
       0,       0
      81,      27
      36,      12
      48,      16
       6,       2
       0,       0
      33,      11
      33,      11
      57,      19
      39,      13
      -3,      -1
      72,      24
      42,      14
      27,       9
      69,      23
      57,      19
      57,      19
      78,      26
      18,       6
      48,      16
      33,      11
      39,      13
      96,      32
      75,      25
      12,       4
      30,      10
      -6,      -2
      15,       5
      24,       8
      42,      14
      51,      17
      81,      27
      39,      13
      57,      19
      -3,      -1
      42,      14
      12,       4
      27,       9
      42,      14
      84,      28
      -3,      -1
      30,      10
      36,      12
      54,      18
      42,      14
       6,       2
