[{w0: 283, w1: 79, x: -15, y: -6, z: 3}]
[{w0: 476, w1: 327, x: 14, y: 4, z: -5}]
[{w0: -444, w1: 2763, x: -11, y: 1, z: 15}]
[{w0: -436, w1: 311, x: -8, y: 2, z: -5}]
[{w0: -454, w1: 59, x: -5, y: 5, z: -1}]
[{w0: 46, w1: 10, x: 16, y: 0, z: 0}]
[{w0: -104, w1: 214, x: 6, y: 0, z: 4}]
[{w0: -367, w1: 1583, x: -2, y: 11, z: 11}]
[{w0: -8, w1: 207, x: -3, y: -11, z: -5}]
[{w0: -1160, w1: 1726, x: -25, y: 3, z: -12}]
[{w0: -953, w1: 3888, x: 15, y: -8, z: 18}]
[{w0: -149, w1: 40, x: -6, y: -3, z: 2}]
[{w0: -1987, w1: 4814, x: -23, y: 8, z: -20}]
[{w0: -176, w1: 746, x: 3, y: -1, z: -8}]
[{w0: -64, w1: 206, x: 4, y: 2, z: -4}]
[{w0: -410, w1: 553, x: 23, y: -3, z: -7}]
[{w0: 2980, w1: 463, x: 17, y: 21, z: -5}]
[{w0: 175, w1: -86, x: -5, y: -12, z: 0}]
[{w0: 3501, w1: 201, x: 19, y: 22, z: 1}]
[{w0: 182, w1: 1758, x: 5, y: 7, z: -12}]
[{w0: 1568, w1: 4349, x: 22, y: 8, z: -19}]
[{w0: -354, w1: 2400, x: -2, y: 10, z: -14}]
[{w0: -203, w1: 3936, x: 3, y: -2, z: 18}]
[{w0: -95, w1: 476, x: 3, y: 2, z: 6}]
[{w0: 1266, w1: 455, x: 8, y: 20, z: -5}]
[{w0: -104, w1: 1208, x: -6, y: -4, z: 10}]
[{w0: -500, w1: 1076, x: 3, y: -13, z: -10}]
[{w0: -329, w1: 127, x: -9, y: 0, z: 3}]
[{w0: -344, w1: 142, x: 4, y: -6, z: -4}]
[{w0: 523, w1: 786, x: 15, y: 4, z: -8}]
[{w0: -240, w1: 1967, x: 2, y: -4, z: -13}]
[{w0: -246, w1: 119, x: -7, y: -1, z: 3}]
[{w0: -192, w1: 5223, x: -8, y: -2, z: -21}]
[{w0: -1022, w1: 5197, x: 5, y: -21, z: 21}]
[{w0: -694, w1: -109, x: 4, y: -16, z: -1}]
[{w0: -172, w1: -7, x: -2, y: -4, z: 1}]
[{w0: 49, w1: 88, x: 6, y: 3, z: 2}]
[{w0: -2327, w1: 1942, x: -12, y: 21, z: 12}]
[{w0: -159, w1: 12, x: -2, y: -5, z: -2}]
[{w0: 174, w1: 891, x: -8, y: -8, z: -9}]
[{w0: -974, w1: 70, x: 7, y: -15, z: -4}]
[{w0: -81, w1: 5796, x: -2, y: -11, z: 22}]
[{w0: -185, w1: 1264, x: 0, y: 3, z: 10}]
[{w0: 354, w1: 2408, x: 5, y: 11, z: -14}]
[{w0: -1004, w1: 110, x: 12, y: -10, z: -4}]
[{w0: -409, w1: -30, x: 8, y: -5, z: 0}]
[{w0: -245, w1: 324, x: 0, y: -17, z: 6}]
[{w0: -920, w1: 1646, x: 6, y: -16, z: 12}]
[{w0: 432, w1: 206, x: 20, y: 2, z: -4}]
[{w0: 2857, w1: 747, x: 21, y: 16, z: 7}]
[{w0: -806, w1: -12, x: 12, y: -8, z: -2}]
[{w0: 517, w1: 1543, x: 11, y: 6, z: 11}]
[{w0: 615, w1: 1935, x: -17, y: -8, z: -13}]
[{w0: -379, w1: 134, x: 4, y: -7, z: -4}]
[{w0: -2145, w1: 173, x: -25, y: 8, z: -3}]
[{w0: -169, w1: 4806, x: -1, y: -8, z: 20}]
[{w0: -325, w1: 1967, x: 7, y: -4, z: -13}]
[{w0: -239, w1: 553, x: 4, y: -3, z: -7}]
[{w0: -619, w1: 65, x: -8, y: 5, z: 1}]
[{w0: -1079, w1: 682, x: 8, y: -15, z: 8}]
[{w0: -741, w1: 81, x: -8, y: 7, z: 1}]
[{w0: -662, w1: 1028, x: 3, y: -19, z: -10}]
[{w0: 181, w1: 826, x: 4, y: 9, z: -8}]
[{w0: 750, w1: 675, x: 13, y: 7, z: 7}]
[{w0: 1372, w1: 407, x: 12, y: 14, z: -5}]
[{w0: -491, w1: 2125, x: -5, y: 6, z: 13}]
[{w0: -256, w1: 269, x: 1, y: -7, z: 5}]
[{w0: -185, w1: 2641, x: -2, y: -3, z: -15}]
[{w0: -88, w1: 987, x: 2, y: 4, z: -9}]
[{w0: -1096, w1: 1830, x: -13, y: 7, z: 12}]
[{w0: -208, w1: -6, x: 8, y: -2, z: 0}]
[{w0: 406, w1: 4798, x: -11, y: -9, z: 20}]
[{w0: -1199, w1: 539, x: 15, y: -10, z: 7}]
[{w0: 468, w1: 63, x: -14, y: -8, z: 3}]
[{w0: -417, w1: 42, x: -5, y: 4, z: 0}]
[{w0: -267, w1: 182, x: -10, y: -1, z: -4}]
[{w0: -274, w1: 416, x: -11, y: -1, z: -6}]
[{w0: -92, w1: 158, x: -3, y: -7, z: 4}]
[{w0: -464, w1: 1272, x: -6, y: 4, z: 10}]
[{w0: 205, w1: 826, x: 10, y: 3, z: 8}]
[{w0: -230, w1: 2308, x: 0, y: -12, z: 14}]
[{w0: 178, w1: 730, x: -7, y: -9, z: 8}]
[{w0: 205, w1: 979, x: 10, y: 3, z: -9}]
[{w0: -863, w1: 3601, x: -8, y: 9, z: 17}]
[{w0: 1840, w1: 223, x: 18, y: 12, z: 3}]
[{w0: -356, w1: 3820, x: 17, y: -3, z: -18}]
[{w0: 1105, w1: 246, x: 18, y: 7, z: -4}]
[{w0: -377, w1: -38, x: 5, y: -6, z: 0}]
[{w0: -245, w1: -111, x: 0, y: -17, z: 1}]
[{w0: -589, w1: 650, x: 4, y: -13, z: -8}]
[{w0: 531, w1: 171, x: 4, y: 19, z: -1}]
[{w0: 514, w1: -23, x: -22, y: -6, z: 1}]
[{w0: -1134, w1: -70, x: 14, y: -10, z: 0}]
[{w0: 914, w1: 7130, x: 7, y: 17, z: 24}]
[{w0: -449, w1: 70, x: 2, y: -15, z: -4}]
[{w0: -260, w1: 2, x: -9, y: -1, z: 0}]
[{w0: -104, w1: 263, x: -6, y: -4, z: -5}]
[{w0: -1490, w1: 1336, x: -12, y: 12, z: 10}]
[{w0: -1022, w1: 841, x: 5, y: -21, z: 9}]
[{w0: 646, w1: 7988, x: -21, y: -7, z: -26}]
[{w0: 1031, w1: 335, x: 22, y: 5, z: -5}]
[{w0: -1900, w1: 1703, x: -8, y: 26, z: 11}]
[{w0: 426, w1: 153, x: 4, y: 16, z: 1}]
[{w0: -89, w1: 802, x: 7, y: 0, z: 8}]
[{w0: -1443, w1: 396, x: 25, y: -8, z: 6}]
[{w0: -224, w1: 619, x: -2, y: 0, z: 7}]
[{w0: 723, w1: -72, x: -8, y: -17, z: 2}]
[{w0: -869, w1: 3892, x: -11, y: 6, z: -18}]
[{w0: -414, w1: 513, x: 4, y: -8, z: -7}]
[{w0: -209, w1: 577, x: -1, y: 0, z: -7}]
[{w0: 85, w1: 27, x: 12, y: 1, z: -1}]
[{w0: -189, w1: 1164, x: -11, y: -2, z: -10}]
[{w0: -3629, w1: 332, x: -12, y: 35, z: -2}]
[{w0: 2011, w1: 415, x: 16, y: 15, z: -5}]
[{w0: -1730, w1: 3745, x: -7, y: 27, z: 17}]
[{w0: -308, w1: 95, x: 6, y: -4, z: 3}]
[{w0: 6, w1: 96, x: 4, y: 4, z: 2}]
[{w0: 2676, w1: 414, x: 13, y: 25, z: 4}]
[{w0: -575, w1: 280, x: -2, y: 27, z: 2}]
[{w0: -329, w1: -14, x: 14, y: -3, z: 0}]
[{w0: 301, w1: 4295, x: -6, y: -13, z: 19}]
[{w0: 16, w1: 3852, x: 9, y: 1, z: -18}]
[{w0: -119, w1: 754, x: 5, y: 0, z: -8}]
[{w0: -224, w1: 979, x: -1, y: 3, z: -9}]
[{w0: -1123, w1: -79, x: 10, y: -13, z: 1}]
[{w0: -934, w1: 57, x: -16, y: 4, z: 1}]
[{w0: -209, w1: 786, x: 9, y: -2, z: 8}]
[{w0: -306, w1: 72, x: -5, y: 1, z: 2}]
[{w0: -239, w1: 40, x: 4, y: -3, z: 2}]
[{w0: -1372, w1: 2906, x: 10, y: -16, z: -16}]
[{w0: -464, w1: 25, x: -18, y: 0, z: 1}]
[{w0: -380, w1: 850, x: -2, y: 12, z: -8}]
[{w0: 41, w1: 59, x: 4, y: 5, z: -1}]
[{w0: -209, w1: 19, x: -1, y: 0, z: -1}]
[{w0: -1468, w1: 1152, x: 17, y: -11, z: 10}]
[{w0: -1862, w1: 138, x: -12, y: 16, z: 0}]
[{w0: -179, w1: 794, x: 0, y: 5, z: -8}]
[{w0: -506, w1: -53, x: 5, y: -9, z: -1}]
[{w0: -325, w1: 2723, x: 7, y: -4, z: 15}]
[{w0: 268, w1: 496, x: 5, y: 9, z: -6}]
[{w0: 998, w1: 588, x: 8, y: 16, z: 6}]
[{w0: -179, w1: 190, x: 1, y: 0, z: -4}]
[{w0: 265, w1: 802, x: 7, y: 6, z: -8}]
[{w0: -2005, w1: 2205, x: -13, y: 16, z: 13}]
[{w0: -284, w1: 1495, x: -6, y: 0, z: 11}]
[{w0: 2975, w1: -139, x: -14, y: -31, z: -3}]
[{w0: -1394, w1: -68, x: 11, y: -15, z: -2}]
[{w0: 541, w1: 1838, x: 9, y: 8, z: 12}]
[{w0: -457, w1: 1551, x: -4, y: 7, z: 11}]
[{w0: -245, w1: -111, x: 0, y: -17, z: 1}]
[{w0: -74, w1: 10, x: 8, y: 0, z: 0}]
[{w0: -168, w1: 3435, x: 1, y: 1, z: -17}]
[{w0: -146, w1: 1137, x: 0, y: 16, z: 9}]
[{w0: -302, w1: 43, x: -3, y: 3, z: -1}]
[{w0: -87, w1: 770, x: -7, y: -4, z: 8}]
[{w0: 181, w1: 2200, x: -4, y: -15, z: -14}]
[{w0: -509, w1: 230, x: -6, y: 5, z: -4}]
[{w0: -3, w1: 6012, x: 1, y: 16, z: 22}]
[{w0: -1025, w1: 1551, x: -12, y: 7, z: 11}]
[{w0: -1247, w1: 67, x: -17, y: 6, z: -1}]
[{w0: -1147, w1: 552, x: -7, y: 16, z: -6}]
[{w0: -641, w1: 571, x: 13, y: -6, z: 7}]
[{w0: -192, w1: 3, x: -8, y: -2, z: -1}]
[{w0: -84, w1: 762, x: -5, y: -5, z: 8}]
[{w0: -459, w1: 285, x: 10, y: -5, z: 5}]
[{w0: -253, w1: 182, x: -8, y: -1, z: -4}]
[{w0: 139, w1: 508, x: 5, y: 6, z: 6}]
[{w0: -30, w1: 198, x: 7, y: 1, z: -4}]
[{w0: 841, w1: 106, x: 9, y: 12, z: 0}]
[{w0: 616, w1: 136, x: 9, y: 9, z: 2}]
[{w0: -234, w1: 500, x: -1, y: 5, z: 6}]
[{w0: -799, w1: 143, x: 4, y: -19, z: -5}]
[{w0: -1034, w1: 2930, x: 9, y: -13, z: -16}]
[{w0: -379, w1: 563, x: 4, y: -7, z: 7}]
[{w0: -1037, w1: 1081, x: -10, y: 9, z: 9}]
[{w0: 576, w1: 372, x: -11, y: -11, z: 6}]
[{w0: -356, w1: 301, x: 17, y: -3, z: 5}]
[{w0: -206, w1: 1686, x: 6, y: -2, z: -12}]
[{w0: -134, w1: 2037, x: -3, y: -5, z: 13}]
[{w0: -994, w1: 2420, x: -26, y: 2, z: 14}]
[{w0: 481, w1: -29, x: -21, y: -6, z: -1}]
[{w0: -757, w1: 4335, x: 11, y: -8, z: 19}]
[{w0: 359, w1: 71, x: -14, y: -7, z: 3}]
[{w0: 202, w1: 399, x: 3, y: 13, z: -5}]
[{w0: -158, w1: 595, x: -5, y: -3, z: 7}]
[{w0: -42, w1: -102, x: -2, y: -14, z: 0}]
[{w0: -216, w1: 408, x: 16, y: -2, z: -6}]
[{w0: -344, w1: 1220, x: -3, y: 5, z: -10}]
[{w0: -209, w1: 420, x: 0, y: -5, z: 6}]
[{w0: -180, w1: 408, x: -20, y: -2, z: -6}]
[{w0: 610, w1: 572, x: 6, y: 14, z: 6}]
[{w0: -190, w1: 738, x: -10, y: -2, z: -8}]
[{w0: 311, w1: 270, x: 5, y: 10, z: -4}]
[{w0: -161, w1: 413, x: 0, y: 11, z: 5}]
[{w0: -708, w1: 0, x: 10, y: -8, z: 2}]
[{w0: -224, w1: 215, x: 0, y: -10, z: -5}]
[{w0: 371, w1: 365, x: 10, y: 5, z: 5}]
[{w0: 1300, w1: 811, x: -12, y: -18, z: -9}]
[{w0: -69, w1: 90, x: 1, y: 10, z: 0}]
[{w0: -169, w1: 738, x: -1, y: -8, z: 8}]
[{w0: -50, w1: 2047, x: 2, y: 6, z: -13}]
[{w0: -201, w1: 2304, x: 1, y: -2, z: -14}]
[{w0: -145, w1: 3537, x: 2, y: 1, z: 17}]
[{w0: 1174, w1: 1336, x: 12, y: 12, z: 10}]
[{w0: -617, w1: 472, x: -7, y: 6, z: -6}]
[{w0: -806, w1: 2013, x: 12, y: -8, z: 13}]
[{w0: -315, w1: 6345, x: -2, y: 7, z: -23}]
[{w0: -154, w1: 489, x: -1, y: -11, z: -7}]
[{w0: 291, w1: 4710, x: -20, y: -5, z: -20}]
[{w0: 481, w1: 365, x: 12, y: 5, z: 5}]
[{w0: 2246, w1: 327, x: 11, y: 25, z: 3}]
[{w0: -267, w1: 5357, x: -10, y: -1, z: 21}]
[{w0: -157, w1: 476, x: 1, y: 2, z: 6}]
[{w0: 66, w1: 2715, x: -11, y: -5, z: 15}]
[{w0: 216, w1: 105, x: 4, y: 10, z: 1}]
[{w0: -677, w1: 730, x: 8, y: -9, z: 8}]
[{w0: -461, w1: 563, x: 6, y: -7, z: 7}]
[{w0: -2580, w1: 467, x: 17, y: -19, z: 7}]
[{w0: 277, w1: -46, x: -12, y: -7, z: 0}]
[{w0: -92, w1: 746, x: 15, y: -1, z: -8}]
[{w0: -515, w1: 2071, x: -4, y: 9, z: -13}]
[{w0: 2054, w1: 5103, x: -19, y: -17, z: -21}]
[{w0: -932, w1: 1025, x: -24, y: 2, z: 9}]
[{w0: -110, w1: 276, x: 0, y: 28, z: -2}]
[{w0: -189, w1: 2649, x: -11, y: -2, z: -15}]
[{w0: -614, w1: 826, x: -11, y: 3, z: 8}]
[{w0: -234, w1: 69, x: 1, y: -5, z: -3}]
[{w0: -1019, w1: -47, x: 14, y: -9, z: 1}]
[{w0: -134, w1: 87, x: -3, y: -5, z: 3}]
[{w0: -812, w1: 66, x: -9, y: 7, z: 0}]
[{w0: -869, w1: -68, x: 6, y: -15, z: -2}]
[{w0: -599, w1: 5421, x: -6, y: 7, z: 21}]
[{w0: -22, w1: 555, x: -4, y: -8, z: 7}]
[{w0: -126, w1: 68, x: 2, y: 2, z: -2}]
[{w0: 406, w1: 1575, x: 6, y: 10, z: 11}]
[{w0: -1433, w1: 147, x: -9, y: 16, z: -1}]
[{w0: -1329, w1: 29, x: 17, y: -10, z: -3}]
[{w0: -113, w1: 190, x: -10, y: -3, z: 4}]
[{w0: 462, w1: 1019, x: 8, y: 8, z: -9}]
[{w0: -500, w1: 23, x: 3, y: -13, z: 3}]
[{w0: -12, w1: 191, x: 2, y: 8, z: 3}]
[{w0: -164, w1: 375, x: 0, y: 10, z: -5}]
[{w0: -354, w1: 1415, x: 2, y: -10, z: 11}]
[{w0: -565, w1: 2063, x: -5, y: 8, z: -13}]
[{w0: -467, w1: 3138, x: -12, y: 1, z: 16}]
[{w0: -536, w1: 3154, x: -9, y: 3, z: 16}]
[{w0: 65, w1: 921, x: -4, y: -11, z: 9}]
[{w0: -113, w1: 166, x: -3, y: -6, z: 4}]
[{w0: -3317, w1: 7267, x: 20, y: -21, z: -25}]
[{w0: -104, w1: 325, x: 6, y: 0, z: 5}]
[{w0: -113, w1: 961, x: -3, y: -6, z: 9}]
[{w0: -302, w1: 1766, x: -15, y: -1, z: 12}]
[{w0: -904, w1: 14, x: 4, y: -22, z: -4}]
[{w0: -461, w1: 368, x: 6, y: -7, z: -6}]
[{w0: -179, w1: 4822, x: -1, y: -6, z: 20}]
[{w0: -708, w1: 1116, x: 10, y: -8, z: -10}]
[{w0: 1452, w1: 714, x: -23, y: -11, z: 8}]
[{w0: -596, w1: 755, x: -3, y: 17, z: 7}]
[{w0: -311, w1: -5, x: 12, y: -3, z: -1}]
[{w0: -200, w1: 2388, x: 0, y: -2, z: 14}]
[{w0: -582, w1: 303, x: -17, y: 1, z: -5}]
[{w0: -605, w1: 6858, x: -18, y: 1, z: -24}]
[{w0: -179, w1: 79, x: -1, y: -6, z: 3}]
[{w0: -644, w1: 2384, x: -6, y: 8, z: -14}]
[{w0: -591, w1: 440, x: -13, y: 2, z: -6}]
[{w0: -2066, w1: 641, x: -24, y: 8, z: -7}]
[{w0: 549, w1: -103, x: -7, y: -16, z: 1}]
[{w0: -1874, w1: -47, x: 29, y: -9, z: 1}]
[{w0: -871, w1: -46, x: 16, y: -7, z: 0}]
[{w0: -149, w1: 1129, x: 0, y: 15, z: 9}]
[{w0: -14, w1: 571, x: -6, y: -6, z: 7}]
[{w0: -230, w1: 199, x: 0, y: -12, z: -5}]
[{w0: -176, w1: 4333, x: 0, y: 6, z: -19}]
[{w0: -458, w1: 643, x: -7, y: 3, z: 7}]
[{w0: 151, w1: 3082, x: -11, y: -6, z: 16}]
[{w0: -164, w1: 1702, x: -1, y: -9, z: 12}]
[{w0: -333, w1: 78, x: 1, y: -14, z: -4}]
[{w0: 454, w1: 58, x: 10, y: 6, z: 0}]
[{w0: -3020, w1: 2191, x: -14, y: 24, z: -13}]
[{w0: -263, w1: 43, x: -2, y: 3, z: -1}]
[{w0: -31, w1: 8895, x: 2, y: 7, z: 27}]
[{w0: 324, w1: 81, x: 7, y: 7, z: 1}]
[{w0: -1545, w1: 2697, x: -29, y: 4, z: -15}]
[{w0: -205, w1: 2739, x: 5, y: -2, z: 15}]
[{w0: -122, w1: 18, x: 3, y: 1, z: 0}]
[{w0: -1114, w1: 50, x: -17, y: 5, z: 0}]
[{w0: -834, w1: 300, x: 4, y: -20, z: 6}]
[{w0: 49, w1: 428, x: -15, y: -4, z: 6}]
[{w0: -182, w1: 1212, x: 0, y: 4, z: -10}]
[{w0: -185, w1: 1216, x: -2, y: -3, z: 10}]
[{w0: 231, w1: 29, x: -7, y: -10, z: -3}]
[{w0: -869, w1: 340, x: 6, y: -15, z: 6}]
[{w0: 244, w1: 1726, x: 11, y: 3, z: -12}]
[{w0: -405, w1: 2420, x: -7, y: 2, z: 14}]
[{w0: -619, w1: 2117, x: -8, y: 5, z: 13}]
[{w0: -281, w1: 125, x: -3, y: 2, z: -3}]
[{w0: 88, w1: 484, x: 7, y: 3, z: 6}]
[{w0: -848, w1: 43, x: -17, y: 3, z: -1}]
[{w0: -230, w1: 3433, x: 0, y: -12, z: 17}]
[{w0: -209, w1: 295, x: -1, y: 0, z: -5}]
[{w0: -1184, w1: 58, x: -16, y: 6, z: 0}]
[{w0: -196, w1: 93, x: -4, y: -2, z: -3}]
[{w0: -592, w1: 666, x: 5, y: -11, z: -8}]
[{w0: -757, w1: 4686, x: 11, y: -8, z: -20}]
[{w0: 564, w1: 521, x: -19, y: -7, z: -7}]
[{w0: -59, w1: 1975, x: -16, y: -3, z: -13}]
[{w0: -428, w1: 649, x: -3, y: 9, z: -7}]
[{w0: -793, w1: 222, x: -13, y: 4, z: -4}]
[{w0: -44, w1: 1180, x: 10, y: 0, z: -10}]
[{w0: -194, w1: 730, x: -1, y: -3, z: -8}]
[{w0: 184, w1: 4702, x: -12, y: -6, z: -20}]
[{w0: 246, w1: 2093, x: 14, y: 2, z: 13}]
[{w0: -1169, w1: 500, x: -18, y: 5, z: 6}]
[{w0: -449, w1: 127, x: -17, y: 0, z: 3}]
[{w0: 1266, w1: 4910, x: 8, y: 20, z: -20}]
[{w0: 311, w1: 5445, x: 5, y: 10, z: 21}]
[{w0: -1355, w1: 389, x: -15, y: 8, z: 5}]
[{w0: -140, w1: -14, x: -7, y: -3, z: 0}]
[{w0: -213, w1: 738, x: 13, y: -2, z: -8}]
[{w0: -365, w1: 301, x: 18, y: -3, z: 5}]
[{w0: -491, w1: 802, x: -5, y: 6, z: -8}]
[{w0: -179, w1: 109, x: 1, y: 0, z: -3}]
[{w0: -59, w1: 295, x: 9, y: 0, z: -5}]
[{w0: 559, w1: 528, x: 6, y: 13, z: -6}]
[{w0: 952, w1: 3625, x: 10, y: 12, z: 17}]
[{w0: 355, w1: 691, x: 6, y: 9, z: 7}]
[{w0: -309, w1: -30, x: 4, y: -5, z: 0}]
[{w0: 76, w1: 58, x: 4, y: 6, z: 0}]
[{w0: -312, w1: 35, x: -4, y: 2, z: -1}]
[{w0: 288, w1: 3561, x: 10, y: 4, z: 17}]
[{w0: 108, w1: 2673, x: 13, y: 1, z: -15}]
[{w0: -170, w1: 1766, x: 0, y: 8, z: -12}]
[{w0: -436, w1: 311, x: -8, y: 2, z: -5}]
[{w0: -881, w1: 5429, x: -9, y: 8, z: 21}]
[{w0: 64, w1: 55, x: -5, y: -9, z: 3}]
[{w0: -414, w1: 513, x: 4, y: -8, z: -7}]
[{w0: -634, w1: 285, x: 17, y: -5, z: 5}]
[{w0: 2646, w1: -150, x: -20, y: -20, z: 0}]
[{w0: -1829, w1: 659, x: -30, y: 5, z: 7}]
[{w0: 434, w1: -142, x: -5, y: -19, z: 0}]
[{w0: 610, w1: 122, x: 6, y: 14, z: 0}]
[{w0: -807, w1: 827, x: 5, y: -16, z: -9}]
[{w0: -68, w1: 328, x: -2, y: -12, z: -6}]
[{w0: -14, w1: 1240, x: 12, y: 0, z: 10}]
[{w0: 1876, w1: 130, x: 15, y: 15, z: 0}]
[{w0: -245, w1: 79, x: 1, y: -6, z: 3}]
[{w0: -322, w1: 1598, x: 1, y: -13, z: -12}]
[{w0: -199, w1: 48, x: -1, y: -2, z: 2}]
[{w0: -676, w1: 1790, x: -5, y: 11, z: -12}]
[{w0: -104, w1: 109, x: 6, y: 0, z: -3}]
[{w0: -384, w1: 2037, x: 7, y: -5, z: 13}]
[{w0: -341, w1: 136, x: -2, y: 9, z: 2}]
[{w0: 865, w1: 477, x: 6, y: 19, z: 5}]
[{w0: 928, w1: 213, x: -12, y: -14, z: 5}]
[{w0: 616, w1: 1020, x: -6, y: -20, z: -10}]
[{w0: -542, w1: 16, x: 10, y: -6, z: 2}]
[{w0: -1184, w1: 850, x: -16, y: 6, z: 8}]
[{w0: -126, w1: 770, x: 2, y: 2, z: -8}]
[{w0: 134, w1: 1463, x: -20, y: -4, z: 11}]
[{w0: -1294, w1: 113, x: -11, y: 11, z: 1}]
[{w0: -299, w1: 10, x: -7, y: 0, z: 0}]
[{w0: -185, w1: 1726, x: 0, y: 3, z: -12}]
[{w0: -239, w1: 343, x: -1, y: 6, z: -5}]
[{w0: -149, w1: 19, x: 3, y: 0, z: -1}]
[{w0: -224, w1: 4399, x: -2, y: 0, z: 19}]
[{w0: 1119, w1: 62, x: -10, y: -19, z: 4}]
[{w0: 178, w1: 883, x: -7, y: -9, z: -9}]
[{w0: -511, w1: 987, x: -7, y: 4, z: -9}]
[{w0: 191, w1: 1140, x: -16, y: -5, z: -10}]
[{w0: -591, w1: 341, x: -13, y: 2, z: 5}]
[{w0: 284, w1: 1152, x: -7, y: -11, z: 10}]
[{w0: 246, w1: 440, x: 14, y: 2, z: -6}]
[{w0: 3529, w1: 745, x: 20, y: 21, z: -7}]
[{w0: -159, w1: 2994, x: -2, y: -5, z: -16}]
[{w0: -659, w1: 485, x: -3, y: 20, z: 5}]
[{w0: -1176, w1: 4197, x: 13, y: -11, z: -19}]
[{w0: -443, w1: -182, x: 1, y: -24, z: 0}]
[{w0: 277, w1: -46, x: -12, y: -7, z: 0}]
[{w0: -1522, w1: 381, x: -19, y: 7, z: 5}]
[{w0: 463, w1: 2593, x: -12, y: -9, z: -15}]
[{w0: -379, w1: 287, x: -26, y: -1, z: -5}]
[{w0: -225, w1: 17, x: -4, y: -1, z: 1}]
[{w0: -200, w1: 561, x: 0, y: -2, z: -7}]
[{w0: 1227, w1: 674, x: -13, y: -16, z: 8}]
[{w0: -419, w1: 1774, x: -15, y: 0, z: 12}]
[{w0: -164, w1: 882, x: 0, y: 10, z: 8}]
[{w0: -341, w1: 49, x: -4, y: 3, z: 1}]
[{w0: 596, w1: 144, x: 8, y: 10, z: 2}]
[{w0: -893, w1: 1933, x: 5, y: -18, z: 13}]
[{w0: -239, w1: -11, x: 0, y: -15, z: -3}]
[{w0: -939, w1: -55, x: 11, y: -10, z: 1}]
[{w0: -373, w1: 102, x: 2, y: -11, z: -4}]
[{w0: -44, w1: 325, x: 10, y: 0, z: 5}]
[{w0: -14, w1: 1360, x: 1, y: 15, z: 10}]
[{w0: -50, w1: 1003, x: 2, y: 6, z: -9}]
[{w0: 881, w1: 7355, x: -17, y: -10, z: -25}]
[{w0: -419, w1: 979, x: -6, y: 3, z: -9}]
[{w0: 481, w1: 464, x: 12, y: 5, z: -6}]
[{w0: -559, w1: 762, x: 14, y: -5, z: 8}]
