      w0,       x,       y,       z
    1329,       2,      11,       4
     223,       5,       3,      10
    5200,      -2,      22,       5
    3787,      14,      19,       3
    3536,      22,      12,      18
    4748,       8,      16,      16
     794,       7,       6,      10
    4865,      -4,      19,      10
     510,      21,      -6,      -2
    1753,       0,       7,      22
    -134,      17,      -8,       9
    4848,      20,      22,       2
    9371,       0,      29,       7
     998,       9,      10,       2
     -75,      26,      -1,      22
    2981,       7,      17,       3
    4791,      15,      21,       4
    2912,      10,      20,      -3
    5155,      11,      21,       6
   11953,       5,      33,       7
   20491,       2,      33,      33
    5388,       0,      18,      15
    6870,      23,      22,      11
     102,      -1,      -4,      -5
     108,      24,       0,       2
    7355,      28,      17,      27
    1256,      10,      14,      -3
    4227,      11,      17,      10
    1672,       0,      10,      10
    1921,      20,      21,     -10
    5589,      12,      21,       8
    -142,      13,       4,      -6
    3835,      17,      15,      12
    3619,       2,      19,       3
    -431,       7,      -1,      31
    4378,       5,      18,       9
     592,      34,       4,       5
     909,      -3,       9,       5
    -231,      -8,       1,      10
    2012,      10,      10,      12
    -186,       3,       0,       0
    4689,      -3,      19,       9
    1675,      11,      11,       6
    1892,      16,      12,       5
    1156,      12,       8,       8
    7481,       6,      25,       8
    6027,       6,      17,      21
     913,       0,       7,      10
   -1196,       4,      -8,      20
     713,       5,      13,      -5
     382,      -9,       8,       2
    4951,       2,      17,      15
    4773,       9,      25,      -3
    3347,       4,       9,      31
    -174,      25,      -4,      11
    1456,       2,      12,       3
    2569,      14,      17,       0
    -164,      -8,      -8,       5
     782,      19,       6,       7
   10656,       6,      30,       9
    -145,      22,      -5,       9
     504,      22,       4,       7
    1445,      16,       9,       8
    1864,      28,      10,       8
     461,      22,       3,      10
    3836,       0,      16,      11
    1880,      -2,      12,       7
     621,      16,       5,       8
    1916,      -8,      12,       8
    2567,       4,      11,      15
     189,       9,       3,       7
    -219,      15,      -1,      21
    9511,      26,      25,      15
     473,      10,       3,      16
    2069,      22,       9,      14
    2688,      -6,      20,      -3
    7321,       2,      23,      12
    -172,       4,       0,       8
    2464,      14,       8,      24
    2473,      10,      13,       8
   -1332,      14,     -10,      22
    4271,      27,      13,      20
     645,      28,     -13,       8
     471,      12,       3,      15
    6664,       2,      26,       3
     135,      16,       1,      13
   -2217,       0,     -13,      27
    1408,      24,      10,       4
    8612,       4,      24,      15
    5008,       8,      14,      24
    2148,     -12,      24,     -11
     301,      17,       3,       7
     808,      10,      -8,      -4
    4798,     -17,      14,      25
     693,      14,       5,      10
    2980,       8,      18,       1
     792,      14,       4,      17
    1529,       7,      21,     -11
    3815,      16,      19,       3
    6311,      12,      23,       7
    2193,      39,       5,      33
    1555,      22,       5,      25
    8630,      23,      22,      19
   -1275,      21,      -9,      23
    1030,      -3,      10,       4
    -102,       9,       0,       1
     287,      10,       5,       3
    -538,      -1,      -4,      11
    2500,       8,      12,      11
    1319,       7,      21,     -12
    6206,       7,      18,      19
    4080,       6,      16,      12
    -298,      -5,       0,      10
      -8,       6,       2,       5
    2954,      13,      20,      -3
     941,      12,       7,       8
    3366,      21,      10,      24
     104,      14,      -2,      -5
    4723,      10,      17,      13
    2992,      14,      14,       9
    -113,      -1,       1,      12
    3712,      14,     -16,      -9
     338,      19,     -10,       6
    2181,       0,      11,      12
     423,       9,       5,       6
    3692,      34,      14,      12
     697,       4,      11,      -2
   10951,      11,      35,       0
    5147,      16,      17,      15
      69,      -2,       5,       2
     -63,      19,      -1,      11
     -46,      13,       0,      29
    1951,      20,       9,      13
    1431,      15,       9,       8
    3661,       7,      17,       7
    -401,      14,      -3,      15
   10069,       2,      21,      30
    3916,       0,      14,      17
    3193,      15,      13,      13
    2252,      16,       8,      21
     -66,       9,       2,       0
    4168,      -2,      14,      19
    1146,      17,       8,       7
    3304,       4,      22,      -4
    7057,      16,      23,      10
    6075,       1,      19,      16
    5704,      14,      12,      37
    1335,      21,       9,       6
    3052,      20,      10,      21
   10895,      -2,      27,      17
    8744,       2,      26,      11
       9,       7,       1,      13
   20522,      11,      38,      20
    1704,      22,      14,      -1
     102,      -1,       4,       5
     176,      10,      -6,       1
   13749,       9,      27,      27
     283,      25,       7,      -4
    8024,       2,      16,      37
    2912,      14,      16,       4
    -299,      17,      -3,      13
   14290,      13,      28,      26
    -354,      -9,       0,      21
    3794,      -3,      16,      11
    4196,       0,      14,      19
    1285,      18,      13,      -2
    -522,     -21,       0,      28
   11793,      28,      29,      14
    3839,      24,      13,      17
    9024,      22,      26,      11
    3091,      17,      13,      12
     302,      21,       2,      10
    1191,       0,      11,       3
    3113,       0,      13,      14
    4112,      14,      14,      17
    3265,      11,       9,      29
     644,      -2,      10,       0
    1382,      19,       4,      30
    1416,       2,       8,      13
    2446,      15,      16,       1
     213,      19,      -5,       1
   10788,      -6,      30,      10
    4196,      10,      14,      18
     203,      10,       3,       7
    8596,      20,      24,      14
    4547,      14,      19,       7
    1848,      10,       8,      17
    3677,      -4,      17,       8
    5256,      10,      16,      19
    2309,      17,      11,      11
    2935,      17,      15,       6
    -881,      17,      -9,      18
     432,       6,       8,       0
    3224,       2,      16,       7
    3929,      13,      15,      13
    7388,      48,      16,      29
    2118,      15,      12,       7
    -416,       2,       6,      -9
     549,      24,       3,      12
     527,      -5,       5,      12
    3314,      17,      14,      11
    2614,       7,      14,       7
     304,      22,       4,       2
    -116,       8,       0,      24
    2569,      12,      11,      14
   11850,      27,      30,      12
     526,      15,       4,      10
    5875,       2,      15,      27
    4502,       1,      18,      10
   11092,     -16,      26,      21
     199,      14,      -7,       3
     809,      12,      11,      -2
    -640,       8,      -2,      28
    2718,      15,       8,      27
    2852,      -6,      14,      10
      -5,      11,       1,       6
    3147,      21,      13,      12
     140,      12,      10,      -7
    -102,       9,       0,       4
    1400,      16,       6,      18
    6151,      20,      19,      15
     420,      18,       2,      18
    1592,       4,      14,       0
       2,     -11,      -6,      -1
    2722,      21,       8,      26
    2955,      16,      11,      17
    2994,      23,      10,      20
    7086,       7,      22,      13
    3786,       1,      20,       2
    1444,       4,       8,      13
     299,      -7,       5,       8
     539,      19,       3,      14
     112,      14,       4,       0
    6856,      10,      16,      29
    9330,      21,      24,      17
      55,       6,       1,      19
     426,      11,     -10,       4
     714,       9,       8,       3
     711,      15,       9,       0
     398,      13,       6,       2
    5277,      21,      27,      -5
    4287,      -6,       9,      43
    4413,      18,      11,      30
     523,      20,       3,      13
     346,      35,       6,      -4
    2740,       8,      12,      13
    -535,      12,      -5,      14
    2715,      12,      15,       5
    -888,      14,      -4,      25
    -151,      24,       7,     -10
    3868,      20,      12,      21
    3937,      14,      21,       0
    1529,      -6,       7,      20
      67,       5,       5,       0
    -284,      -4,       0,       5
    7773,      18,      21,      18
    -115,       6,      -1,      -2
    2615,      16,       9,      21
    1472,      34,       4,      27
    -246,      19,      -2,      16
    2950,      23,      12,      13
    3815,      16,      19,       3
    2395,      26,       9,      17
    2118,       3,      16,       0
    6166,      17,      18,      18
    4864,      14,      18,      11
    1312,      24,      14,      -4
    1945,      26,       9,      12
    6277,      36,      17,      20
    -167,      13,      -1,      13
   19515,       3,      33,      30
    3828,      10,      22,      -2
     -60,      12,       0,       5
    3065,      16,      11,      18
    8102,      11,      28,       4
    6036,      20,      16,      23
     535,      13,       7,       2
     824,      18,      10,      -1
