      w0,      w1,       x,       y
       4,     -50,      -4,       0
    1887,     -43,      16,       7
     -30,     -46,      -2,       4
    4641,     -31,      25,      19
    2053,     -51,      17,      -1
      22,     -48,       3,       2
     852,     -32,      10,      18
     267,     -13,       1,      37
     -21,     -45,      -2,       5
     195,     -35,      -5,      15
    -134,     -56,       0,      -6
    6801,     -57,      31,      -7
     730,     -30,       9,      20
    8776,     -46,      35,       4
      78,     -34,      -2,      16
     622,     -42,     -10,       8
     970,     -36,      11,      14
    2851,     -51,      20,      -1
    4596,     -36,      25,      14
     355,     -25,       5,      25
     166,     -46,      -6,       4
     121,     -37,       3,      13
      55,     -35,      -1,      15
    3318,     -66,      22,     -16
     757,     -27,       9,      23
    6154,     -34,      29,      16
    2197,     -35,      17,      15
     130,     -36,       3,      14
     -89,     -51,       0,      -1
    5347,     -35,      27,      15
    2422,     -38,     -19,      12
    4951,     -37,      26,      13
     541,     -51,       9,      -1
    8412,     -32,      34,      18
     231,     -31,       4,      19
     429,     -37,       7,      13
     366,     -16,      -5,      34
    4174,     -44,      24,       6
    3235,     -41,      21,       9
     141,     -27,      -2,      23
     663,     -53,      10,      -3
    1410,     -26,      13,      24
     604,     -44,       9,       6
     985,     -53,      12,      -3
     -71,     -49,      -1,       1
     532,     -38,       8,      12
    2296,     -24,      17,      26
    1219,     -27,      12,      23
    5820,     -26,      28,      24
     100,     -30,       0,      20
    1905,     -41,      16,       9
    2787,     -27,      19,      23
    1311,     -37,      13,      13
    1264,     -22,      12,      28
     285,     -53,       7,      -3
    7465,     -33,     -33,      17
     175,     -45,       5,       5
     277,     -43,       6,       7
     376,     -32,       6,      18
    1981,     -59,      17,      -9
    1237,     -25,      12,      25
    3865,     -41,      23,       9
     397,     -53,       8,      -3
      31,     -47,       3,       3
     613,     -43,       9,       7
    1246,     -24,      12,      26
    1489,     -39,      14,      11
    1275,     -41,      13,       9
     247,     -37,       5,      13
    1465,     -65,      15,     -15
     807,     -37,      10,      13
      37,     -37,       0,      13
     256,     -36,       5,      14
    2977,     -37,      20,      13
    3829,     -45,      23,       5
    3498,     -46,      22,       4
     532,     -38,       8,      12
    1869,     -45,      16,       5
    3739,     -55,      23,      -5
    2404,     -40,      18,      10
     258,     -56,      -8,      -6
     663,     -53,      10,      -3
     157,     -47,      -6,       3
    3370,     -26,      21,      24
     861,     -31,      10,      19
    4497,     -47,      25,       3
     130,     -50,       5,       0
    1600,     -50,      15,       0
     301,     -31,       5,      19
    2224,     -32,      17,      18
     916,     -42,      11,       8
    1057,     -45,      12,       5
     951,     -21,      10,      29
    1003,     -51,      12,      -1
     985,     -53,      12,      -3
      16,     -44,       2,       6
     721,     -17,       8,      33
    3073,     -59,      21,      -9
    3163,     -49,      21,       1
     298,     -64,       8,     -14
    5077,     -23,      26,      27
    2314,     -50,      18,       0
    5604,     -50,      28,       0
      16,     -44,      -3,       6
    1012,     -50,      12,       0
     130,     -50,       5,       0
     114,     -44,       4,       6
    1048,     -46,      12,       4
      78,     -34,       1,      16
     277,     -43,      -7,       7
    1878,     -44,      16,       6
    2580,     -50,      19,       0
     604,     -44,       9,       6
     268,     -44,       6,       6
    2350,     -46,      18,       4
    1273,     -63,      14,     -13
       6,     -42,      -2,       8
     121,     -37,      -4,      13
    2242,     -30,      17,      20
      67,     -57,       5,      -7
     -62,     -48,      -1,       2
    1096,     -22,      11,      28
    2530,     -26,      18,      24
    1237,     -25,      12,      25
    -152,     -58,       0,      -8
     988,     -34,      11,      16
     400,     -20,      -6,      30
     375,     -43,       7,       7
     429,     -37,       7,      13
    4120,     -50,      24,       0
     402,     -40,       7,      10
    1941,     -37,      16,      13
    2778,     -28,      19,      22
   11166,     -76,      40,     -26
     721,     -31,       9,      19
      69,     -49,       4,       1
      67,     -43,       3,       7
     816,     -36,      10,      14
    2467,     -33,      18,      17
     304,     -40,       6,      10
    1051,     -27,      11,      23
     799,     -55,      11,      -5
    1705,     -15,      14,      35
     -66,     -50,       1,       0
     166,     -46,       5,       4
    3046,     -62,      21,     -12
     195,     -35,       4,      15
    1419,     -25,      13,      25
    4255,     -35,      24,      15
    1453,     -43,      14,       7
    2778,     -28,      19,      22
    3588,     -36,      22,      14
     321,     -49,      -8,       1
     145,     -25,       0,      25
    2860,     -50,      20,       0
     798,     -38,      10,      12
      10,     -40,       0,      10
     331,     -37,       6,      13
     744,     -44,      10,       6
    2992,     -68,      21,     -18
     157,     -33,       3,      17
    2332,     -48,      18,       2
    4695,     -25,      25,      25
     780,     -40,      10,      10
    5983,     -53,      29,      -3
    3244,     -40,      21,      10
    1257,     -43,      13,       7
    4219,     -39,      24,      11
    4201,     -41,      24,       9
      82,     -32,      -1,      18
     -50,     -56,       3,      -6
     978,     -18,      10,      32
      78,     -34,       1,      16
     355,     -25,       5,      25
     943,     -39,      11,      11
     852,     -32,      10,      18
     586,     -46,       9,       4
      88,     -36,       2,      14
     438,     -36,      -8,      14
     550,     -50,       9,       0
     424,     -50,       8,       0
    -156,     -60,      -2,     -10
     690,      -8,       7,      42
     798,     -38,     -11,      12
    4018,     -24,      23,      26
     604,     -44,       9,       6
     375,     -43,       7,       7
    2778,     -28,      19,      22
     312,     -50,      -8,       0
    3883,     -39,      23,      11
    1210,     -28,      12,      22
    3838,     -44,      23,       6
    2332,     -48,      18,       2
     672,     -52,      10,      -2
     222,     -32,       4,      18
      37,     -37,       0,      13
     355,     -25,       5,      25
     474,     -32,       7,      18
    -170,     -60,      -1,     -10
    2143,     -41,      17,       9
    2905,     -45,      20,       5
     214,     -50,       6,       0
    2752,     -62,      20,     -12
     348,     -46,       7,       4
     -35,     -45,       0,       5
      16,     -44,       2,       6
     889,     -45,      11,       5
    1959,     -35,      16,      15
     640,     -26,       8,      24
    5212,     -50,      27,       0
    6610,     -30,      30,      20
    1356,     -32,      13,      18
    3280,     -36,      21,      14
    3937,     -33,      23,      17
    1327,     -57,      14,      -7
     825,     -35,      10,      15
    1636,     -46,      15,       4
    5257,     -45,      27,       5
     406,     -66,       9,     -16
    1111,     -39,      12,      11
    8947,     -27,      35,      23
    1591,     -51,      15,      -1
    1066,     -44,      12,       6
      42,     -38,      -2,      12
    1543,     -33,      14,      17
    1255,     -23,      12,      27
    4237,     -37,      24,      13
      40,     -46,      -4,       4
     -80,     -50,       0,       0
    5221,     -49,      27,       1
     123,     -43,       4,       7
    2706,     -36,      19,      14
     681,     -51,      10,      -1
    6412,     -52,      30,      -2
      40,     -46,       3,       4
      64,     -34,      -1,      16
     193,     -43,       5,       7
     421,     -27,       6,      23
    2386,     -42,      18,       8
     109,     -29,       0,      21
     244,     -70,       8,     -20
     906,     -26,     -11,      24
    2521,     -27,      18,      23
      69,     -35,      -2,      15
     627,     -57,      10,      -7
    1717,     -37,      15,      13
    2125,     -43,      17,       7
    1627,     -47,      15,       3
    1129,     -37,      12,      13
    1636,     -46,      15,       4
     559,     -35,      -9,      15
    1248,     -44,      13,       6
     942,     -22,      10,      28
