      w0,      w1,       x,       y
    7200,     746,      30,      13
      32,     778,       2,      18
     128,     584,       4,      15
     128,     316,      -4,      12
     800,     526,      10,      13
     392,     157,       7,       5
    3200,     300,      20,       5
     800,     110,      10,       0
    1568,     262,      14,       6
    1568,     174,      14,       2
    9800,     561,      35,       8
    1800,    1173,      15,      21
     512,     504,       8,      13
   10952,     583,      37,     -11
     128,      52,       4,       1
    4232,     729,      23,      14
    1568,    3594,      14,      40
      32,      42,       2,       2
    2592,     194,      18,      -1
     392,      85,       7,       1
     968,      95,     -11,       9
     800,     470,      10,      12
     128,     880,       4,      19
    1352,     751,      13,      16
     648,    3539,       9,      40
    5000,     883,      25,      16
    1800,     161,      15,      -2
      72,       3,      -3,       3
    1352,     151,      13,      -4
     128,     584,       4,      15
      32,      18,       2,      -2
       8,     297,      -1,      11
      32,     942,       2,      20
    3200,    1516,      20,      24
      72,     275,      -3,      11
    5832,     557,      27,      10
    4608,    1364,      24,      22
    8712,     623,      33,      10
       8,    1389,      -1,      25
    2048,    1012,      16,      19
       8,     427,       1,      13
    4608,     260,      24,      -1
    2888,    1045,      19,      19
    4232,    1353,      23,      22
      32,     438,       2,      13
     968,     121,      11,       0
     128,      44,       4,      -3
    2048,    2032,      16,      29
    3872,     602,      22,      12
    2312,     603,      17,      13
     648,      41,      -9,       7
    2888,     625,      19,      13
       0,     680,       0,      17
    1152,     132,      12,      -3
     392,    1477,       7,      25
    3528,     231,      21,       0
     288,     674,       6,      16
     128,     -44,      -4,       0
     512,     628,       8,      15
    1568,    1450,      14,      24
    2312,     363,      17,       8
    1152,     492,      12,      12
       0,     756,       0,      18
    4232,     561,      23,      11
    1152,     392,      12,      10
    1152,     168,      12,       3
    4232,     669,      23,      13
     968,     957,      11,      19
     800,     106,      10,      -1
       0,     540,       0,      15
    8712,    1763,      33,      25
    2048,     392,      16,       9
    1800,     165,      15,       0
    2592,     278,      18,      -8
    1568,    1162,      14,      21
    3200,    1056,      20,      19
     800,     190,      10,       5
      32,      30,       2,      -4
     200,     -35,      -5,       2
     800,     586,      10,      14
     648,     155,       9,       4
    3872,     350,      22,       6
     512,      20,      -8,       6
     128,     800,       4,      18
       0,      -4,       0,      -2
    3200,     976,      20,      18
     392,    1023,      -7,      22
    5832,     297,      27,       0
     288,     350,      -6,      13
     288,     542,       6,      14
    3200,    2736,      20,      34
     200,      51,       5,      -2
     128,     520,       4,      14
       8,     931,       1,      20
     392,     437,       7,      12
    9248,    2354,      34,      30
     128,     100,       4,      -7
    1800,     581,      15,      13
    2592,     338,      18,       7
       0,      36,       0,       3
    1352,     319,      13,       8
     392,     997,       7,     -23
    5000,     691,      25,      13
    1152,     168,      12,      -6
    3528,     447,      21,       9
     512,     628,       8,      15
      32,     286,      -2,      11
     648,     209,      -9,      11
    3528,     647,      21,      13
     392,    1323,      -7,      25
     200,      63,       5,       1
     128,     184,       4,       7
     128,      40,       4,      -1
     288,     822,       6,      18
     800,     166,      10,       4
    2888,    1505,      19,      24
     392,     217,       7,       7
     968,    1041,      11,      20
     128,     152,       4,       6
     800,     110,      10,       0
     392,     997,       7,      20
     512,     168,       8,       5
     200,     121,      -5,       8
     800,     146,      10,       3
      32,     630,       2,     -19
    1568,     910,      14,      18
    2592,    2858,      18,      35
    2048,     212,      16,       3
    2888,    1045,      19,      19
     128,     304,       4,      10
       0,     216,       0,       9
    2048,    1472,      16,      24
       8,      25,      -1,      -6
    3200,    2736,      20,      34
     128,     124,       4,       5
    2312,    1587,      17,      25
    4232,     253,      23,       0
     648,      99,       9,       0
    6728,     735,      29,      13
     128,     724,       4,      17
    1800,     201,      15,      -6
      72,      33,       3,       0
       0,     108,       0,       6
    1352,     199,      13,       4
    2048,     856,      16,      17
    4232,     669,      23,      13
     128,     -36,      -4,       1
     968,     801,      11,      17
       0,     216,       0,       9
     392,     463,      -7,      15
     512,     768,       8,      17
    4232,     273,      23,       2
    4232,     361,      23,      -9
     200,     161,      -5,       9
    5832,     437,      27,       7
    6728,     459,      29,       7
       8,       7,       1,      -1
     392,     113,       7,      -6
      32,     154,      -2,     -11
    1352,     957,     -13,      22
    3872,    1538,      22,      24
    1352,     559,      13,      13
    1352,     823,      13,      17
     392,     553,       7,      14
     128,     304,       4,      10
     200,    1345,      -5,      25
     800,    2350,      10,      32
     648,       9,      -9,       6
    2888,     889,      19,      17
    3528,     231,      21,       0
     512,     196,       8,       6
    1352,     151,      13,       1
    5000,     955,      25,      17
       0,    1508,       0,      26
    1152,     348,      12,     -12
     648,     315,       9,       9
     288,     -46,      -6,       2
     200,     111,       5,       4
    3528,    1151,      21,      20
     392,    1543,      -7,      27
    3872,    2098,      22,      29
    3200,     436,      20,       9
    5832,     557,      27,      10
     648,     855,       9,      18
    2312,     295,      17,       6
      72,    1653,       3,      27
     128,     172,      -4,       9
    4232,     249,      23,      -1
     968,     537,      11,      13
     128,     100,       4,       4
     200,     663,       5,      16
    2312,     547,      17,      12
    3528,    2211,      21,      30
    1152,     440,      12,      11
      72,    1475,      -3,      26
    5832,    3105,      27,      36
    3528,     491,      21,      10
     800,     146,      10,       3
     392,     253,       7,       8
     392,     493,       7,      13
     128,     964,       4,      20
    2592,     234,      18,       3
     128,     496,      -4,      15
    1800,    1565,      15,      25
       8,    1411,       1,      25
      72,     107,      -3,       7
     800,     190,      10,      -8
       0,     308,       0,      11
    5832,     713,      27,      13
    1568,     514,      14,      12
      72,      23,      -3,       4
    1352,     823,      13,      17
   10368,     476,      36,       5
      32,     562,       2,      15
     648,     207,       9,       6
      72,     383,      -3,      13
     288,     374,       6,      11
     200,     595,       5,      15
    5000,    2011,      25,      28
     200,      53,      -5,       6
      72,     509,       3,      14
    7200,     338,      30,       1
    3528,    1739,      21,      26
    5832,     837,      27,      15
    5408,     894,      26,      16
    5832,    2405,      27,      31
      72,      33,       3,       0
     800,     718,      10,      16
    2592,     338,      18,       7
     392,      97,       7,       2
     288,     426,       6,      12
    1568,     174,      14,      -5
    1568,    1554,      14,      25
    2592,     254,      18,       4
    1352,     223,      13,      -8
       8,     371,       1,      12
    1152,     132,      12,       0
     288,     326,       6,      10
    5832,     377,      27,       5
    7200,     590,      30,      10
     968,     801,      11,      17
    1152,     140,      12,       1
     648,      99,       9,       0
     392,      77,       7,       0
    6728,     355,      29,       3
     648,    1395,       9,      24
    2312,    2043,      17,      29
     512,      52,      -8,       7
     968,    1417,      11,      24
    5408,     702,      26,      13
      32,     330,       2,      11
      32,     -14,      -2,      -4
      32,     942,       2,      20
     512,    1096,       8,      21
     128,     260,       4,       9
    1152,     272,      12,       7
    1352,    1063,      13,      20
     128,     184,       4,       7
      72,     143,      -3,       8
    3528,    1967,      21,      28
    3200,    1416,      20,      23
       8,      11,       1,       0
    2048,    -156,     -16,      -5
       0,     608,       0,      16
     968,     261,      11,     -10
     288,     326,       6,      10
     392,     293,       7,       9
    2592,     338,      18,       7
    1800,    1265,      15,      22
     968,     141,      11,      -5
     392,     757,       7,      17
    3200,     976,      20,      18
     968,     177,      11,       4
     512,    1208,      -8,      24
     648,     135,       9,       3
    2888,     965,      19,      18
    4232,     249,      23,      -1
    1152,    1052,      12,      20
    2048,     652,      16,      14
     512,    1596,       8,      26
    3528,     251,      21,      -5
     648,     315,       9,     -12
     288,      66,       6,       0
       0,     476,       0,      14
      72,     647,      -3,      17
    5000,     331,      25,      -7
      32,      34,      -2,       4
     392,    2453,       7,      33
     968,     177,      11,       4
    2312,     223,      17,       3
    2048,    1096,      16,      20
    1352,     151,      13,       1
     800,     106,     -10,       9
     800,     370,      10,      10
    1800,     245,      15,       5
     512,     832,      -8,      20
       8,      69,      -1,      -8
     968,      19,     -11,       7
    8712,    1463,      33,      22
    3872,     658,      22,      13
       0,     308,       0,      11
       8,       7,       1,      -2
    1152,    1640,      12,      26
       8,     349,      -1,      12
    3200,     636,      20,      13
    3528,     539,      21,      11
     200,     161,      -5,       9
    9248,     790,      34,      13
       0,      56,       0,       4
    2048,    1012,      16,      19
       8,    1867,       1,      29
     392,     185,       7,       6
     800,     218,      10,       6
    1152,     152,      12,       2
    5408,     342,      26,      -7
     968,    1317,      11,      23
     288,     482,       6,      13
    1352,     143,      13,      -3
       8,     119,       1,       6
     512,     228,       8,       7
     200,     111,       5,       4
    7200,    1010,      30,      17
     968,     141,      11,       2
    3200,    1228,      20,      21
     128,      64,      -4,       6
     200,     811,       5,      18
    1568,     154,      14,      -3
    1800,     201,      15,       3
    2048,     856,      16,      17
    4232,    1261,      23,      21
     800,    -102,     -10,       1
      72,     327,      -3,      12
    4232,     309,      23,       4
    2312,     327,      17,       7
       8,     297,      -1,      11
    2048,     212,      16,       3
    7200,     870,      30,     -18
    2888,    1129,      19,      20
    3200,    1516,      20,      24
     392,     231,      -7,      11
    2312,     267,      17,       5
      32,     198,       2,       8
     968,     537,      11,      13
    3872,     350,      22,       6
     800,     418,      10,      11
     128,     404,       4,     -15
     800,    1618,      10,      26
    1800,     161,      15,      -1
    4608,     264,      24,       0
     392,     437,       7,      12
     288,    2450,      -6,      34
    2048,    1684,      16,      26
    2592,     954,      18,      18
    6272,     616,      28,      11
       8,     767,       1,      18
     392,     293,       7,       9
    5000,     751,      25,      14
    1352,     503,      13,      12
    2312,     327,      17,       7
    1568,     294,      14,       7
    4232,     793,      23,      15
    1568,     462,      14,      11
     200,     735,       5,      17
