      w0,       y,      w1,       z
     -15,      -5,    -184,      19
     -12,      -4,    -191,      12
      57,      19,    -178,      25
      12,       4,    -199,       4
       0,       0,    -177,      26
      27,       9,    -179,      24
      72,      24,    -206,      -3
      21,       7,    -205,      -2
      51,      17,    -188,      15
      72,      24,    -201,       2
       3,       1,    -192,      11
      24,       8,    -190,      13
      36,      12,    -184,      19
      69,      23,    -179,      24
     -78,     -26,    -185,      18
      33,      11,    -178,      25
      42,      14,    -174,      29
      87,      29,    -179,      24
      36,      12,    -205,      -2
      39,      13,    -204,      -1
      24,       8,    -195,       8
       9,       3,    -183,      20
      24,       8,    -195,       8
       9,       3,    -194,       9
      42,      14,    -209,      -6
      12,       4,    -193,      10
      15,       5,    -172,      31
      36,      12,    -186,      17
      54,      18,    -191,      12
      57,      19,    -221,     -18
      18,       6,    -175,      28
      57,      19,    -191,      12
      48,      16,    -193,      10
      39,      13,    -191,      12
      69,      23,    -181,      22
       0,       0,    -194,       9
      72,      24,    -197,       6
       0,       0,    -195,       8
      54,      18,    -187,      16
      39,      13,    -214,     -11
      -9,      -3,    -188,      15
     -30,     -10,    -194,       9
     -15,      -5,    -199,       4
       9,       3,    -195,       8
      51,      17,    -193,      10
      84,      28,    -193,      10
      48,      16,    -191,      12
      48,      16,    -189,      14
      21,       7,    -200,       3
       6,       2,    -179,      24
      21,       7,    -199,       4
      24,       8,    -193,      10
     114,      38,    -195,       8
      12,       4,    -175,      28
      57,      19,    -187,      16
      63,      21,    -216,     -13
      27,       9,    -168,      35
      78,      26,    -178,      25
       6,       2,    -189,      14
      -3,      -1,    -190,      13
      66,      22,    -191,      12
      72,      24,    -185,      18
      -3,      -1,    -186,      17
      30,      10,    -177,      26
      30,      10,    -198,       5
      57,      19,    -189,      14
      21,       7,    -187,      16
      78,      26,    -190,      13
      -9,      -3,    -203,       0
      63,      21,    -196,       7
      42,      14,    -181,      22
      21,       7,    -187,      16
      27,       9,    -193,      10
      51,      17,    -163,      40
      30,      10,    -200,       3
      75,      25,    -199,       4
       9,       3,    -206,      -3
      -9,      -3,    -157,      46
      69,      23,    -183,      20
      39,      13,    -201,       2
      36,      12,    -191,      12
      63,      21,    -193,      10
      12,       4,    -179,      24
      27,       9,    -191,      12
      36,      12,    -180,      23
      24,       8,    -197,       6
      18,       6,    -222,     -19
      18,       6,    -189,      14
      66,      22,    -194,       9
      42,      14,    -198,       5
      45,      15,    -203,       0
      12,       4,    -192,      11
      81,      27,    -202,       1
       6,       2,    -194,       9
      45,      15,    -202,       1
      51,      17,    -192,      11
      15,       5,    -209,      -6
      66,      22,    -192,      11
       0,       0,    -188,      15
      42,      14,    -183,      20
      72,      24,    -208,      -5
      48,      16,    -196,       7
      -9,      -3,    -182,      21
      21,       7,    -195,       8
      12,       4,    -211,      -8
       0,       0,    -201,       2
      36,      12,    -206,      -3
      81,      27,    -200,       3
      48,      16,    -206,      -3
      30,      10,    -199,       4
      33,      11,    -203,       0
      87,      29,    -204,      -1
       0,       0,    -200,       3
      36,      12,    -189,      14
       3,       1,    -204,      -1
       3,       1,    -200,       3
       9,       3,    -182,      21
      30,      10,    -189,      14
      21,       7,    -187,      16
      48,      16,    -186,      17
      57,      19,    -194,       9
      60,      20,    -202,       1
      39,      13,    -190,      13
      45,      15,    -168,      35
      81,      27,    -185,      18
      -3,      -1,    -178,      25
      33,      11,    -191,      12
      24,       8,    -203,       0
       0,       0,    -202,       1
      39,      13,    -176,      27
       3,       1,    -189,      14
      -6,      -2,    -189,      14
      51,      17,    -179,      24
      48,      16,    -197,       6
      60,      20,    -205,      -2
      39,      13,    -181,      22
       0,       0,    -190,      13
      69,      23,    -198,       5
      39,      13,    -206,      -3
      42,      14,    -196,       7
      12,       4,    -189,      14
      69,      23,    -184,      19
      42,      14,    -183,      20
      72,      24,    -206,      -3
      66,      22,    -185,      18
      15,       5,    -181,      22
      63,      21,    -174,      29
      39,      13,    -179,      24
     -21,      -7,    -200,       3
      24,       8,    -206,      -3
      18,       6,    -195,       8
      48,      16,    -186,      17
      48,      16,    -189,      14
      69,      23,    -207,      -4
       6,       2,    -204,      -1
      15,       5,    -201,       2
       0,       0,    -178,      25
      72,      24,    -192,      11
     108,      36,    -203,       0
       3,       1,    -184,      19
      33,      11,    -175,      28
      78,      26,    -185,      18
      96,      32,    -197,       6
     -30,     -10,    -183,      20
      27,       9,    -202,       1
      33,      11,    -185,      18
      72,      24,    -191,      12
      87,      29,    -189,      14
       3,       1,    -201,       2
      39,      13,    -190,      13
      78,      26,    -190,      13
      21,       7,    -203,       0
      54,      18,    -184,      19
      51,      17,    -213,     -10
      -3,      -1,    -173,      30
      42,      14,    -196,       7
      33,      11,    -198,       5
      27,       9,    -171,      32
      15,       5,    -179,      24
      45,      15,    -203,       0
      45,      15,    -205,      -2
      48,      16,    -181,      22
       0,       0,    -213,     -10
      69,      23,    -181,      22
      60,      20,    -198,       5
      39,      13,    -209,      -6
      -6,      -2,    -193,      10
       0,       0,    -196,       7
      -3,      -1,    -201,       2
      75,      25,    -169,      34
      -6,      -2,    -204,      -1
       9,       3,    -187,      16
       3,       1,    -191,      12
      60,      20,    -191,      12
      21,       7,    -206,      -3
      15,       5,    -199,       4
      60,      20,    -188,      15
      21,       7,    -184,      19
      39,      13,    -191,      12
     -24,      -8,    -211,      -8
     -27,      -9,    -199,       4
      -3,      -1,    -186,      17
      33,      11,    -200,       3
      75,      25,    -197,       6
      87,      29,    -177,      26
      12,       4,    -191,      12
      78,      26,    -203,       0
      42,      14,    -196,       7
      93,      31,    -192,      11
      36,      12,    -189,      14
      72,      24,    -193,      10
      45,      15,    -200,       3
     102,      34,    -186,      17
      39,      13,    -209,      -6
       0,       0,    -179,      24
      30,      10,    -185,      18
       9,       3,    -184,      19
      30,      10,    -183,      20
       6,       2,    -196,       7
     -18,      -6,    -193,      10
      57,      19,    -203,       0
      87,      29,    -199,       4
      42,      14,    -199,       4
      24,       8,    -185,      18
      45,      15,    -195,       8
      30,      10,    -192,      11
      39,      13,    -212,      -9
     -57,     -19,    -191,      12
      21,       7,    -196,       7
      60,      20,    -203,       0
      15,       5,    -201,       2
       9,       3,    -194,       9
       6,       2,    -198,       5
       0,       0,    -178,      25
      66,      22,    -184,      19
       0,       0,    -193,      10
      69,      23,    -192,      11
     -15,      -5,    -189,      14
      36,      12,    -167,      36
      30,      10,    -193,      10
      21,       7,    -202,       1
      96,      32,    -208,      -5
      30,      10,    -189,      14
     -12,      -4,    -180,      23
      42,      14,    -210,      -7
      30,      10,    -187,      16
      54,      18,    -207,      -4
      72,      24,    -193,      10
      -3,      -1,    -181,      22
      69,      23,    -191,      12
      15,       5,    -186,      17
      21,       7,    -177,      26
      69,      23,    -189,      14
      -3,      -1,    -183,      20
      72,      24,    -176,      27
       9,       3,    -205,      -2
      33,      11,    -189,      14
      78,      26,    -198,       5
      24,       8,    -187,      16
     -12,      -4,    -200,       3
     -39,     -13,    -196,       7
     117,      39,    -185,      18
      75,      25,    -201,       2
       3,       1,    -170,      33
      42,      14,    -200,       3
     -18,      -6,    -178,      25
      27,       9,    -196,       7
      57,      19,    -203,       0
      42,      14,    -207,      -4
      39,      13,    -210,      -7
      27,       9,    -184,      19
      54,      18,    -192,      11
      72,      24,    -211,      -8
      18,       6,    -200,       3
       9,       3,    -191,      12
      21,       7,    -189,      14
       6,       2,    -208,      -5
       6,       2,    -190,      13
      42,      14,    -185,      18
      78,      26,    -179,      24
      84,      28,    -190,      13
      66,      22,    -186,      17
      36,      12,    -185,      18
      63,      21,    -189,      14
      15,       5,    -196,       7
      15,       5,    -188,      15
      15,       5,    -181,      22
      45,      15,    -186,      17
      30,      10,    -186,      17
      75,      25,    -207,      -4
      60,      20,    -201,       2
      45,      15,    -189,      14
      63,      21,    -199,       4
      21,       7,    -212,      -9
      54,      18,    -183,      20
      15,       5,    -188,      15
      30,      10,    -204,      -1
      15,       5,    -190,      13
      51,      17,    -191,      12
      81,      27,    -208,      -5
     -15,      -5,    -199,       4
      33,      11,    -184,      19
      39,      13,    -199,       4
      18,       6,    -214,     -11
      18,       6,    -201,       2
       9,       3,    -187,      16
      27,       9,    -204,      -1
      15,       5,    -193,      10
      81,      27,    -207,      -4
      27,       9,    -190,      13
      12,       4,    -188,      15
      27,       9,    -199,       4
      84,      28,    -203,       0
      36,      12,    -189,      14
     -12,      -4,    -204,      -1
     -48,     -16,    -190,      13
       6,       2,    -204,      -1
      21,       7,    -187,      16
      54,      18,    -214,     -11
      54,      18,    -182,      21
      36,      12,    -201,       2
     -27,      -9,    -193,      10
      81,      27,    -182,      21
      78,      26,    -184,      19
       0,       0,    -200,       3
      15,       5,    -175,      28
      15,       5,    -192,      11
       6,       2,    -183,      20
      84,      28,    -189,      14
     -39,     -13,    -182,      21
      21,       7,    -213,     -10
      30,      10,    -202,       1
       3,       1,    -203,       0
      51,      17,    -186,      17
      30,      10,    -173,      30
      27,       9,    -190,      13
