      w0,       y,       z
     328,      14,      10
     219,       9,      21
     221,       7,      27
     581,      14,      33
     131,      -2,      27
    1761,      29,      23
      41,       6,      13
    1659,      30,       3
     268,      12,      14
     375,      15,       9
    1077,      24,       9
     -98,       7,      -2
    -113,       6,      -1
     296,       9,      28
    -135,       5,      -1
    -152,       0,       2
     514,      17,      10
     263,      13,       9
    1058,      22,      24
     353,      15,       7
     474,      18,       0
     323,      12,      19
    -216,       1,      -4
     -51,       1,      11
     219,      13,       5
      37,     -10,       1
      21,       9,       3
    -119,       0,       5
      98,       9,      10
    1385,      24,      37
     287,      15,       1
     266,      11,      18
     316,      16,      -2
     120,       9,      12
      46,      11,      -2
     967,      24,      -1
      85,       6,      17
     228,       6,      30
     153,       9,      15
     713,      19,      15
     937,      22,      13
     928,      21,      20
     178,       0,      32
     492,      17,       8
      65,       9,       7
     375,      18,      -9
     -67,       2,       9
     -10,      -7,       6
     584,     -15,      28
     274,      13,      10
     185,      14,      -3
    1343,      26,      15
     382,      17,      -2
       8,       5,      12
     180,      10,      14
    -109,       4,       3
      21,       9,       3
    1176,      24,      18
     -45,      -2,      11
     191,      10,      15
     639,      18,      15
    -142,      -4,       0
      43,       9,       5
     719,      21,       1
    -185,       0,      -1
     101,      11,       3
     503,      16,      15
     -29,       1,      13
    -197,      -4,      -5
    1088,      24,      10
    1027,      23,      13
     518,      15,      22
     983,      23,       9
      64,      -3,      20
     829,      21,      11
     199,      15,      -7
     210,      15,      -6
     -10,       4,      12
     937,      22,      13
      46,     -11,      -2
     -95,      -1,       7
     114,     -10,       8
     197,      13,       3
    1307,      25,      21
    1016,      23,      12
     558,      17,      14
     125,      12,       1
     926,      22,      12
     658,      19,      10
     -47,       6,       5
      79,      11,       1
      45,       7,      11
     -78,       2,       8
    -135,       5,      -1
      70,      10,       4
     213,      12,       9
      20,      -3,      16
       9,      -3,      15
     -67,       9,      -5
     257,      12,      13
     119,      -8,      15
      -2,       8,       4
     316,     -16,      -2
     846,      20,      20
    1416,      27,      12
     725,      20,       9
      19,      -6,      11
     525,      17,      11
      68,       0,      22
    -119,       0,       5
     -56,      -2,      10
     -32,       7,       4
    1176,      24,      18
     890,      20,      24
    1574,      29,       6
    1648,      30,       2
      -1,       9,       1
     197,      -9,      19
     350,      14,      12
     351,      13,      17
     496,      18,       2
     625,      14,      37
     -24,       3,      12
     -62,      10,      -8
     485,      15,      19
    1824,      30,      18
     650,     -18,      16
     928,      23,       4
     163,      14,      -5
     562,      18,       8
     536,      16,      18
     136,      12,       2
      74,       6,      16
      46,       0,      20
    2149,      34,       1
     -62,       1,      10
    1164,      25,       8
     340,       9,      32
     -20,       0,      14
     895,      21,      17
     174,      14,      -4
     -56,       2,      10
    1449,      28,       5
     353,      15,       7
      70,       1,      22
    -320,      -2,     -14
     527,      13,      33
      52,       5,      16
     123,     -11,       5
     570,      19,       2
     119,       8,      15
     816,      22,       2
     573,      18,       9
     162,       6,      24
      34,       7,      10
      26,      10,       0
    -122,      -2,       4
     229,      14,       1
     474,      18,       0
