      w0,       x,       y,       z
      15,      -1,       5,      -2
      59,      -1,      23,      -3
     621,       1,      21,       6
    1088,       2,      31,       7
    2345,      17,       5,      15
      51,       1,       1,      -3
    2449,       7,       9,      16
     535,      -5,     -15,      -5
     550,      -2,      10,     -10
    -212,      14,      -2,       0
     807,      15,       7,       1
    5720,      12,      16,      24
    7374,      18,       6,      30
     712,       8,       3,       8
    1963,      19,      13,      -5
    6242,      14,      22,      23
    1380,       2,      12,      12
    -472,      14,      -8,      -8
    1656,       1,      36,      12
    4455,       3,      -5,      25
    -140,      23,      -2,      -6
    1866,      12,       4,      14
     562,      10,       7,       1
    6292,      22,      33,      11
    5769,      23,       9,      24
    5486,      27,       8,      23
    2020,      10,      24,       4
    1456,      16,      -6,      17
    1540,      -2,      -7,      14
     705,      19,       5,       0
    1708,      13,      12,       8
    3364,      13,      12,      17
     358,       0,      20,      -6
     258,     -10,      26,     -17
     564,      19,       4,       0
    1065,      35,       3,       6
    3168,      -2,      18,      21
    4084,       3,       6,      23
     895,      11,       9,      -5
    2338,      16,       7,      14
    2048,       6,      26,     -11
    -184,       8,     -13,       9
    3861,      25,      15,      12
    2400,      16,      20,       0
    1668,      12,       4,      13
    2506,      17,      18,       5
    1086,       8,      17,      -1
     877,       3,       3,      10
     960,      26,       5,      -2
   10176,      10,      10,      36
    1816,       7,      28,       5
    1736,      11,      20,      -3
      62,      -6,       4,      -6
    1308,      -1,       8,      13
    3460,      17,      12,      16
    2366,      26,       1,      17
     828,      12,       9,       0
     549,      13,      -9,     -15
    2642,      32,      11,       3
    2830,      11,      24,      10
    8161,      25,      25,      22
     158,       0,      14,       2
     616,       6,      12,       1
     939,       7,      13,      -6
   10794,      28,      -1,      39
    6352,      14,      37,      18
    9801,      35,      35,      11
    1333,      15,      11,       3
    1258,      -2,       7,      13
     899,       3,      17,       7
    1588,      16,      12,       4
    7038,      40,      16,      18
     736,       4,      20,       1
    3738,      10,      26,      15
    2040,      -6,       4,      17
    1378,      10,      16,      -5
    5391,      31,      19,      12
    4900,      22,      21,      14
     790,      26,       0,      10
     609,      23,      -3,      12
    3870,       9,       4,      22
    2500,      16,      -1,     -20
    5182,      12,      27,      19
    2434,      10,      12,      14
     731,       5,      17,       0
    7816,      18,      24,      25
    4413,      -9,      -3,      24
    3832,      12,      36,       8
    1858,      16,       3,      14
    5991,       5,      15,      27
    2430,      15,       0,      18
     -56,      24,      -4,       9
    2632,      22,       7,      14
     638,       3,      22,       0
    -356,      17,      -6,       7
     724,      14,       3,       7
     968,       2,       1,      11
    2033,      -3,      11,      17
    2063,      15,       5,      14
    1968,      -1,      32,      16
    2430,       0,       0,      18
    1295,       5,      23,       6
    1077,      19,       7,       3
    -430,      -4,      28,      -5
      46,       1,       0,       2
    5769,      19,      33,      12
    3294,       5,      26,      17
     262,       4,       6,       2
    1274,      20,       8,       3
    1321,      25,       5,       7
    1436,       9,      20,       1
    1926,       4,       6,      15
    5950,      24,      20,      18
    5391,      17,       9,      24
    5236,      28,      15,      17
    4080,      18,       6,      21
    5948,      11,      20,      24
    1552,      17,       6,      10
      78,      16,      -1,      -6
    2436,      16,      -7,      21
    1336,      18,       9,      -5
    1240,       6,       9,      10
    1498,       2,       0,      14
     852,       9,      12,       0
    4784,      18,      26,      13
    4398,      11,      20,      19
    7314,      20,      23,      23
     763,      15,       5,      -6
    4486,      24,      21,      10
    1476,       4,      23,       9
    2295,      -5,       5,      18
    3262,       4,      -9,      22
    4550,      42,       1,      24
    2736,      19,      18,      -6
    1642,       9,      12,      10
    3550,       7,      10,      20
    3712,      10,      13,      19
    1580,      14,      10,       8
    6335,      11,       7,      28
    5136,      21,      10,      22
    3750,      -4,       8,      23
    3447,       7,       3,      21
    1434,      12,       7,      10
    1784,      12,      17,       5
    3459,      17,      17,      13
    2201,      21,       7,      12
    1398,      15,       4,      11
    4754,      29,       4,      23
    6866,      26,      34,       7
    2346,      14,       8,      14
    3678,      17,      26,      -8
     404,      12,       2,       5
    3064,      14,      -2,      21
    5098,       6,      17,      24
    1217,       9,      17,      -2
     245,      -9,       5,       8
    4354,       8,      12,      22
    4122,      19,      12,      18
     994,       5,      18,       5
     933,       7,      11,       6
    1794,      15,       6,      12
    2028,       7,      16,      12
    2263,      11,      19,       9
    1337,       5,      29,       3
    2235,      11,      23,      -7
     291,      11,      -1,      -8
     -62,      -2,      23,      -4
    3967,      19,       9,      19
    2330,       8,      13,      14
     226,      15,       2,       0
     385,      15,       3,       2
     314,      18,       2,       2
    3495,      -3,       7,      22
    2596,      25,       6,      14
    3084,       0,      13,      20
    4171,      13,      29,      13
    1710,      22,      10,       3
     766,      23,       4,       3
    1411,      13,       9,       8
    1370,      17,       2,      12
    6292,      -6,      21,      31
    4968,       9,      28,      20
     930,      12,      10,      -2
     798,       6,       3,       9
     944,       5,      22,      -1
    5544,      22,       8,      24
    3194,      18,      19,       9
    1880,      18,      11,       7
     -80,       7,      -4,       4
    2520,      12,      25,       5
    4288,      24,      12,      17
    2144,      -3,      22,      18
    1228,      19,       2,      11
    1072,      13,       8,      -7
     -56,      -2,      11,      -2
    2404,       7,       4,      17
    7674,      14,      29,      25
    1852,       9,      24,       4
     504,      -2,      24,       9
    2806,      21,      12,      11
    3457,      35,       3,      19
    7360,      14,      19,      27
    1794,       7,      28,      -6
     178,      -2,       7,       5
    4702,      13,       8,      23
    2336,       6,       8,      16
    2706,       0,       1,      19
    1494,       8,      11,      10
     189,      -5,      -7,       0
    2230,       6,      -4,      18
    5862,       8,      14,      26
     966,       8,      12,      -6
    6802,      28,       9,      26
    1571,       9,      13,       9
    1226,       2,       5,      12
    4021,       3,      15,      22
    2251,       1,      21,      16
    2757,       7,      37,       9
    1735,       3,      15,      13
   10766,      11,      10,      37
    1283,       3,      17,      10
     408,      -1,       2,       7
    1946,      -1,      10,      16
     954,       4,      18,       6
    1540,       6,      29,       3
    5478,      17,      24,      18
    2924,      23,      16,       5
    5333,      21,       7,      24
    2044,      17,      12,       8
    -150,      -2,      25,       0
    6968,      11,      32,      24
    3120,      10,      -2,      21
     597,       3,      19,       2
    5256,      16,      12,     -24
    3586,       6,       0,      22
   12473,      35,      25,      29
    -470,      10,      -6,      -1
    6440,      12,      20,      25
    2695,      17,      15,      10
    6492,      28,      11,      24
    1428,      10,       4,      12
    1520,      -7,     -14,      11
    1870,      11,      22,       0
    2272,       7,      36,       5
     638,       3,      22,       0
    7006,       8,       0,      31
    2235,      11,      17,      10
     406,       4,      10,       2
    1643,      -7,      13,      17
    -513,       7,      -9,       0
    3078,      18,      22,      -5
    3800,      32,       7,      17
     228,      -3,     -14,       2
    2304,      24,      13,       1
    2001,      15,      15,       6
    6738,       0,      21,      30
    2135,       9,      29,      -4
    4414,      10,      22,      19
    4248,      -8,       0,      24
    5983,      19,      27,      17
    5676,       9,      10,      26
    2081,       3,       5,      16
    5652,       0,     -11,      28
    1966,       6,      17,      12
     610,      -8,     -10,      -5
    4076,      14,      31,      10
    5574,       7,       4,      27
     636,     -10,       5,      11
    2419,      35,       7,       9
    2800,      -4,       9,      20
    2587,      13,      11,      14
    1079,       5,      13,       8
    -122,      13,      -2,      -4
    2372,      15,      14,      10
    2701,      11,       9,      16
     724,       4,      16,       4
     451,      13,      -5,      11
     707,       5,       7,       7
    3616,      11,       4,      21
    6624,      22,      34,      12
   -1072,      14,     -13,       6
     718,       7,      10,       4
    2106,      11,       2,      16
     780,     -10,      15,      15
    4092,      24,      22,       5
    1408,      -2,      15,      14
    2633,       3,       7,      18
    4456,       0,      26,      24
     666,      31,      -2,      12
    2641,       7,       5,     -19
    3476,       2,      -5,      22
      38,      18,      -2,       6
    2889,      -3,       7,      20
    3914,       3,      22,      21
    3022,      19,       6,      17
     919,       7,       9,       7
    5350,       8,       6,      26
   -1884,     -19,      24,      12
   -1125,      27,      -9,       9
    5190,      10,      -2,      27
    2104,       4,      -2,      17
    4151,      15,       5,      22
    2465,       9,      19,      12
     790,      12,       0,      10
    1502,      -3,      16,      15
    1116,      15,       0,      12
     110,      11,     -14,      13
     980,      -1,      34,      11
    3086,       6,      23,      16
    3645,      15,      13,      17
    1727,       9,      11,      11
    4540,      23,      18,      14
    4458,      20,      20,      14
    6032,      23,      28,      13
    3171,      33,       7,      14
    8290,      -2,      18,      34
    4803,       3,       7,      25
    1031,      11,      -1,      12
     691,      11,      -5,      12
    -812,      -7,      22,       3
    1070,      12,       5,     -10
    2934,      18,      16,      10
    5604,       0,     -17,      28
    9792,      13,       4,      36
    2632,      22,       7,      14
    2788,      22,      14,       8
    -220,      12,      -4,       4
     705,       7,       1,       9
    1826,       2,      40,      11
    3596,      14,      25,      11
    8701,      19,      21,      28
    1404,      25,       6,       6
     302,      -3,       8,       7
    1670,      24,       5,      10
    1318,       7,      10,     -11
     163,      -3,      11,       6
    3051,      19,      21,       3
     172,       0,       3,       4
    5914,      18,      24,      19
    6174,       4,      23,      27
    1198,      -7,      18,      16
    2132,      14,      14,       9
    2392,      28,      11,       4
    8962,       0,       9,      35
    3967,      19,       7,      20
    1776,      14,      11,     -10
    1649,      15,      11,       7
     247,       7,       3,      -4
    1116,      16,       9,      -3
    3547,      -3,       3,      22
    4010,       6,       2,      23
    2538,      12,       9,      15
    1940,       9,      14,      11
    3788,      12,      -5,      24
    2959,       3,       9,      19
    1296,      22,       8,       0
    3072,       9,      16,      16
     538,       2,       6,       7
    3798,      14,       2,      22
    1568,      15,       4,      12
    3180,       6,      15,      18
    -176,      14,      -2,      -3
    2180,       2,      31,      14
    2176,      14,      10,      12
    1420,      10,      -1,      14
    4860,      13,       0,     -27
    5461,      19,      11,      23
    8025,       1,       7,      33
    2220,      16,      11,     -12
    1582,       8,      24,       2
    2430,      15,      10,      13
    6016,      22,      13,      23
    2240,      26,      -1,      18
    -986,     -12,      17,       6
     632,      -1,      22,     -10
   -1876,     -13,      34,      11
    5079,      29,      21,       9
     331,       7,       5,       2
     462,       3,      -2,       8
    2538,      -5,      -4,      18
     948,       6,      16,       4
    1723,       9,      -3,      16
     456,       2,       8,      -7
    2884,      13,      14,      14
    3915,       9,       9,      21
    4100,      20,      13,      17
    2580,      25,       8,      12
    3459,      17,      17,      13
    1377,       3,       9,      12
    2157,      15,      19,      -2
   17392,      37,      28,      37
    3388,       9,      32,      12
     808,      17,       6,       2
   -1104,      19,     -10,       6
    4051,      21,       5,      21
     534,       7,       4,       6
    2867,      -3,     -13,      19
    4218,      19,      22,      12
     784,       2,      12,       8
      46,      -2,      -6,      -2
    1894,       0,      23,      15
   10035,      31,      37,      15
    1030,      11,       6,       8
    1684,      20,       7,       9
