      w0,       x,       z
     112,      13,       6
    8776,      19,      30
     688,      -3,      10
    3704,       1,      20
     262,      18,       7
   16506,      -1,      41
      56,      -1,       6
      -6,      11,       5
    -184,      29,       0
      80,       5,       6
     590,      20,       9
    2610,       5,      17
    1398,       2,      13
    4584,      11,      22
    -262,       7,       1
    -238,      13,       1
    9366,      14,      31
     986,      19,     -11
     930,       5,      11
    8150,      10,      29
    3334,       6,      19
    2746,      39,      17
    1990,      10,      15
    -122,      22,       3
    4990,       0,      23
    -216,      11,       2
    2614,       6,      17
     120,      15,       6
    3632,     -17,      20
     -30,       5,      -5
    -280,       5,       0
    3040,      25,     -18
    2260,       0,      16
    5608,      37,      24
    2952,       3,      18
    4540,       0,      22
     214,       6,       7
     998,      22,      11
     586,      19,       9
      -2,      12,       5
    2094,      36,      15
     324,      -4,       8
    3322,       3,      19
    -200,      15,       2
    -258,       8,       1
    2360,      25,      16
    1078,      42,      11
    -198,      23,       1
    4588,      12,      22
    -226,      16,       1
    3692,      -2,      20
    1474,      21,      13
     772,      18,     -10
   10000,      15,      32
     108,      12,       6
    5496,       9,      24
     464,      31,       8
    2932,      -2,      18
    7600,      15,      28
   19004,     -14,      44
     598,      22,       9
     752,      13,      10
     464,      31,       8
    2976,       9,      18
    4560,       5,      22
    4640,      25,      22
    -174,       9,      -3
    5134,      36,      23
    1998,      12,      15
     254,      16,       7
    1204,      16,      12
    2332,      18,      16
    -124,       4,      -4
    3760,      15,      20
     502,      -2,       9
    5428,      -8,      24
    4118,       2,      21
    9908,      -8,      32
     554,      11,       9
    3700,       0,      20
    -268,      -2,      -2
    1180,      10,      12
    1192,      13,     -12
     930,       5,      11
    3708,       2,      20
      -6,      11,       5
    2686,      24,      17
    5440,      -5,      24
    4122,       3,      21
    -320,      -5,       0
    -100,      10,       4
     168,      27,       6
    5982,       8,      25
    1132,      -2,      12
     154,      -9,       7
     218,       7,      -7
    3286,      -6,      19
      20,     -10,      -6
    7042,      13,      27
     760,      15,      10
    2964,       6,      18
     -42,       2,       5
    3294,      -4,      19
     428,      22,       8
    1454,      16,      13
      80,       5,       6
     922,       3,      11
    9996,      14,      32
     -58,      -2,       5
    4170,      15,      21
    -266,       6,      -1
    -206,       1,       3
    -336,     -19,       2
     546,       9,       9
    3732,       8,      20
    2690,      25,      17
    7070,      20,      27
    -124,       4,       4
    2960,       5,      18
    1446,      14,      13
    -296,       1,       0
    1148,       2,      12
    -232,       7,       2
    1454,      16,      13
     538,       7,       9
    6532,      18,      26
    2992,      13,      18
    -242,      12,       1
     732,       8,     -10
    1442,      13,      13
     200,      35,      -6
     330,      35,       7
    -252,       2,       2
    5034,      11,      23
    -284,       4,       0
     -50,       0,      -5
     494,      -4,       9
    6002,      13,      25
    -208,      23,       0
     756,      14,      10
    -226,      16,      -1
    1120,      -5,      12
    -228,       8,      -2
     140,      20,       6
    -190,       5,      -3
    5062,      18,      23
      76,       4,       6
    1470,      20,      13
    5042,      13,      23
      -8,      33,       4
    7612,      18,      28
    4532,      -2,      22
    7640,      25,      28
    5536,      19,      24
    -310,      -5,      -1
    3820,      30,      20
    8134,       6,      29
    4158,      12,      21
    3398,      22,      19
     -76,      16,      -4
      74,      31,       5
    1402,       3,      13
    -170,      10,       3
    2312,      13,      16
     558,      12,       9
     342,      38,      -7
     372,       8,       8
    4174,      16,      21
    2622,       8,      17
    -244,      14,       0
     478,      -8,       9
    7560,       5,      28
    2646,      14,      17
     510,       0,       9
    5496,       9,      24
     416,      19,       8
    1418,       7,      13
     966,      14,      11
    -172,      32,       0
    1656,      -1,      14
    1136,      -1,      12
    6990,       0,      27
    5034,      11,      23
    -132,       2,      -4
    -268,       8,       0
     800,      25,      10
    2074,      31,      15
     708,       2,      10
     982,      18,      11
    -260,       0,       2
    4174,      16,      21
    4142,       8,      21
     338,      37,      -7
    1724,      16,      14
     144,      21,      -6
     486,      -6,       9
    9996,      14,      32
     156,      24,       6
     364,       6,       8
    1144,       1,      12
    4588,      12,      22
    7062,      18,      27
    7050,      15,      27
     218,       7,       7
     -26,       6,       5
    4660,      30,      22
      76,       4,       6
    3004,      16,      18
     400,      15,       8
    1256,      29,      12
     238,      12,       7
    -182,      27,      -1
    2320,      15,      16
     -18,       8,       5
     578,      17,       9
    -308,      -2,       0
    8150,      10,      29
    2256,      -1,      16
     120,      15,       6
     732,       8,      10
    4054,     -14,      21
     518,       2,       9
     190,       0,       7
    2928,      -3,     -18
    -132,       2,       4
    -330,     -10,       1
      30,      20,      -5
    2964,       6,      18
     412,      18,       8
      60,       0,       6
    5954,       1,      25
    1346,     -11,     -13
     712,       3,      10
     574,      16,      -9
    2594,       1,      17
   10590,       0,      33
    -166,      11,       3
     -76,      16,       4
     214,       6,      -7
    -202,       2,       3
    2670,      20,      17
     708,       2,     -10
    -102,      27,       3
    1216,      19,      12
    -172,      -8,      -4
    2320,      15,      16
      46,      24,       5
    -146,      16,       3
    1072,     -17,      12
    -186,       6,       3
    5532,      18,      24
    4640,      25,      22
     700,       0,      10
    -238,      -7,       3
    4182,      18,      21
    -184,      19,       2
    -260,       0,      -2
    -298,     -22,       3
     538,       7,       9
     206,       4,       7
     360,       5,       8
    1700,      10,      14
    6006,      14,      25
    5500,      10,      24
    1192,      13,      12
     776,      19,      10
    5524,      16,      24
    7010,       5,      27
     104,      11,       6
     902,      -2,      11
    -194,       4,       3
     986,      19,      11
     440,      25,       8
     -30,       5,       5
     914,       1,      11
    1672,       3,      14
    -138,      18,       3
    3020,      20,      18
    1010,      25,     -11
   14124,      -4,      38
      38,      22,       5
    1696,       9,      14
    1780,      30,      14
   12006,      14,      35
    3728,       7,      20
    2654,      16,      17
     230,      10,       7
     578,      17,       9
    1926,      -6,      15
    -242,      12,       1
    1660,       0,      14
    2272,       3,      16
    -312,     -13,       2
   10582,      -2,      33
    1704,      11,      14
    -248,      13,       0
     -44,      24,       4
    -254,     -11,      -3
    2980,      10,     -18
    -312,      -3,       0
    3386,      19,     -19
     -28,      28,       4
    1418,       7,     -13
     538,       7,       9
    3700,       0,      20
   20876,       4,      46
     570,      15,       9
    7588,      12,      28
     554,      11,       9
    -220,      20,       0
    1660,       0,      14
     388,      12,       8
    5484,       6,      24
    5050,      15,      23
      26,      19,       5
      34,      21,       5
    2622,       8,      17
     278,      22,       7
    -152,      -3,       4
     942,       8,      11
     934,       6,     -11
    -186,       6,       3
     910,       0,      11
     914,       1,      11
    1018,      27,      11
     930,       5,      11
     288,     -13,      -8
    5054,      16,      23
    5934,      -4,      25
    4580,      10,      22
      -6,      11,       5
     104,      11,       6
    4138,       7,      21
    2582,      -2,      17
    2940,       0,      18
    2320,      15,      16
    -190,       5,       3
     -30,       5,       5
    1708,      12,      14
    1136,      -1,      12
    1434,      11,      13
     986,      19,      11
    1132,      -2,      12
    1982,       8,      15
    3358,      12,      19
    -234,      14,       1
    -216,      11,       2
    -226,      -4,       3
    -116,       6,       4
    -238,      13,       1
     510,       0,       9
    9948,       2,      32
    1188,      12,      12
    -234,      14,       1
    2268,       2,      16
    1430,      10,      13
    3000,      15,      18
    -238,      -7,      -3
    6460,       0,      26
     262,      18,       7
     -92,      12,      -4
    1192,      13,      12
    2336,      19,      16
     156,      24,       6
    9358,      12,      31
     554,      11,       9
     120,      15,      -6
    -182,      27,      -1
    3016,      19,      18
    3632,     -17,      20
    3354,      11,      19
    1696,       9,      14
     172,      28,       6
     610,      25,       9
    1410,       5,      13
    3696,      -1,      20
     368,       7,       8
    4154,      11,      21
    2320,      15,      16
     700,       0,      10
    -254,       9,      -1
    2956,       4,      18
     198,       2,       7
    1672,       3,      14
    2686,      24,      17
    2710,      30,      17
    3254,     -14,      19
    1704,      11,      14
     302,      28,       7
    3338,       7,      19
     -92,      12,       4
    -242,      12,       1
    6042,      23,      25
    -258,     -12,      -3
    1974,       6,      15
   11260,       0,      34
    3712,       3,      20
    2594,       1,      17
     222,       8,       7
    -216,      11,       2
    5416,     -11,      24
    -258,       8,       1
     152,      23,       6
    2618,       7,      17
    2638,      12,      17
    -130,      20,       3
    4568,       7,      22
    -194,       4,       3
    7628,      22,      28
