      w0,       y
      76,       4
     166,       5
     -44,      -2
    1356,      12
    8326,      29
    1356,      12
    2166,      15
     916,      10
     -44,      -2
     -44,       2
    2806,      17
      76,      -4
    1356,      12
    1876,      14
    2476,      16
     726,       9
    1126,     -11
     726,       9
    3526,      19
     -74,       1
     556,      -8
    2166,      15
    3526,      19
    3526,     -19
     166,       5
     -84,       0
     916,      10
    1876,      14
       6,      -3
     556,       8
    6676,      26
     916,     -10
     726,      -9
     -44,      -2
     -44,       2
    2476,      16
    1356,      12
    2806,      17
     -74,      -1
       6,      -3
    3526,      19
     916,      10
     166,       5
     -74,       1
     406,       7
    1356,      12
    1356,      12
    1356,      12
    2166,      15
    9526,      31
     -74,       1
   10806,      33
    4326,      21
    3526,      19
     276,       6
      76,       4
    4756,      22
     726,       9
     -74,      -1
     556,       8
    7756,      28
    4756,      22
    1126,      11
     556,      -8
       6,       3
    1126,      11
      76,       4
     406,      -7
     -44,      -2
     726,       9
    1356,      12
    2476,      16
     -44,      -2
     166,       5
    3156,      18
    2166,     -15
     -44,       2
    1126,      11
     -44,       2
     -84,       0
    1876,      14
      76,       4
    1126,      11
     -84,       0
     -84,       0
    2476,      16
    2476,      16
     916,      10
    3916,      20
     276,       6
    2476,      16
    3526,      19
    4756,      22
     -84,       0
    1606,      13
     -44,       2
    6676,      26
    3156,      18
    3526,      19
      76,      -4
     166,       5
    3916,      20
    7756,      28
    7206,      27
     -84,       0
     556,       8
     -84,       0
     166,       5
     -44,      -2
     406,       7
     406,       7
     916,      10
    2166,      15
     -84,       0
    6166,      25
     -44,      -2
      76,      -4
      76,      -4
     726,      -9
     166,       5
    1356,      12
    1126,      11
     -84,       0
    3526,      19
    2806,      17
    1876,      14
      76,       4
    3156,      18
   10156,      32
     406,       7
     726,       9
       6,      -3
    7206,      27
     -44,       2
   10806,      33
     -84,       0
    2166,      15
    9526,      31
     726,       9
     -84,       0
      76,       4
     726,       9
    4326,     -21
       6,       3
    3156,      18
    1876,      14
     916,      10
      76,      -4
     -84,       0
     406,       7
      76,      -4
    1876,      14
     166,       5
    1126,      11
     406,       7
     166,       5
    1126,      11
     -74,       1
    3916,      20
     556,       8
     276,       6
     406,       7
    7206,      27
    1126,      11
    6166,      25
     556,       8
       6,      -3
     406,       7
    1876,      14
    8916,      30
       6,       3
    1606,      13
    3916,      20
     -84,       0
    1876,      14
    3526,      19
    5206,      23
    3916,      20
     -74,       1
     406,       7
    3156,      18
    6676,      26
     -44,       2
      76,      -4
     406,       7
     726,      -9
