      w1,       x,       y,      w0,       z
       2,       1,       0,    -146,       4
    3259,      31,      23,    -136,       6
      69,       6,       3,    -206,      -8
    5466,      18,      30,     -26,      28
    1771,      10,      17,    -166,       0
     854,     -11,      12,    -166,       0
      54,      14,       2,     -81,      17
    2956,      15,      22,    -166,       0
     258,      18,       6,     -81,      17
    1773,      11,      17,    -141,       5
    1389,      12,      15,     -96,      14
     610,       0,      10,     -81,      17
     327,      13,       7,    -166,       0
    4086,       2,      26,     -46,      24
     656,      23,      10,    -111,      11
    1602,      25,      16,     -76,      18
      33,      -9,      -3,    -146,       4
     193,      24,      -5,    -151,       3
    2211,      13,      19,     -86,      16
     908,      16,      12,     -76,      18
    1063,      18,      13,    -121,       9
      54,      16,      -2,    -116,      10
    1236,      23,      14,     -31,      27
    1588,      18,      16,    -106,      12
    1775,      12,      17,     -61,      21
    2701,      17,      21,     -86,      16
     169,       7,       5,     -61,      21
     586,      -2,     -10,     -31,      27
    2693,      13,      21,    -126,       8
       7,       1,      -1,     -81,      17
     471,      -3,      -9,    -101,      13
    5466,      18,      30,     -81,      17
      69,       9,      -3,    -116,      10
      36,       5,       2,    -241,     -15
    1377,       6,      15,    -256,     -18
     150,      25,       4,     -81,      17
    2679,       6,      21,    -176,      -2
    1357,      -4,      15,    -231,     -13
     307,       3,       7,     -71,      19
    1224,      17,      14,     -76,      18
    1787,      18,      17,    -141,       5
     213,      29,       5,    -116,      10
       6,       3,       0,    -166,       0
    3783,       4,      25,    -141,       5
      57,      25,       1,    -121,       9
     438,      23,       8,    -131,       7
      65,       4,       3,    -176,      -2
     636,      23,     -10,     -66,      20
    2231,      23,      19,    -166,       0
     103,      23,       3,    -126,       8
     912,      18,      12,    -131,       7
    1793,      21,      17,     -46,      24
    1019,      -4,      13,    -121,       9
      -2,      -1,       0,    -151,       3
      38,      19,       0,     -41,      25
    2912,      -7,      22,    -151,       3
     876,       0,      12,    -176,      -2
    4746,       7,      28,     -66,      20
     -14,      -7,       0,     -41,      25
    1405,      20,      15,    -141,       5
    1194,       2,      14,    -141,       5
    2000,      19,      18,     -51,      23
     527,      16,       9,    -101,      13
     890,       7,      12,    -166,       0
     386,      -3,       8,    -136,       6
     319,       9,       7,    -106,      12
    2432,       6,      20,    -126,       8
    2695,      14,      21,     -51,      23
     260,      19,       6,     -21,      29
     870,       9,     -12,     -71,      19
     303,       8,      -7,      49,      43
     317,       8,       7,    -136,       6
      59,       4,      -3,     -41,      25
    1992,      15,      18,     -86,      16
     109,      26,       3,    -116,      10
      96,       2,      -4,    -106,      12
     739,       1,      11,     -96,      14
      59,      27,      -1,    -141,       5
     335,      17,       7,     -91,      15
    2482,      31,      20,    -126,       8
    2944,       9,      22,    -151,       3
    1564,       6,      16,    -121,       9
      75,       9,       3,    -156,       2
      46,      23,       0,     -76,      18
    1586,      17,      16,     -71,      19
    1228,      19,      14,    -226,     -12
      48,      24,       0,    -201,      -7
     116,       8,       4,    -266,     -20
    1741,      -5,      17,    -136,       6
      33,      14,      -1,     -46,      24
    1568,       8,      16,    -166,       0
     424,      16,       8,     -86,      16
    6180,       2,      32,    -151,       3
    2721,      27,      21,    -161,       1
     100,       0,       4,     -71,      19
     910,      17,      12,    -186,      -4
    1065,      19,      13,     -46,      24
    7383,      -1,      35,      -1,      33
      48,      13,      -2,    -171,      -1
      20,      10,       0,     -56,      22
      38,       6,       2,     -81,      17
     416,      12,       8,     -86,      16
    3799,      12,      25,     -71,      19
     193,      24,      -5,    -141,       5
    1982,      10,      18,    -111,      11
      61,      27,       1,    -121,       9
     624,       7,      10,     -36,      26
     529,      17,       9,    -126,       8
     163,       4,       5,    -116,      10
      25,       9,       1,    -116,      10
    1580,      14,      16,     -71,      19
     545,      25,       9,     -71,      19
    1409,      22,      15,    -156,       2
      30,       4,      -2,    -101,      13
     662,      26,      10,     -76,      18
     737,       0,      11,     -61,      21
     402,       5,       8,    -236,     -14
     914,      19,      12,    -106,      12
    2211,      13,      19,    -116,      10
     763,      13,      11,    -146,       4
     876,       0,      12,    -111,      11
      20,      -1,      -2,      14,      36
    1373,       4,      15,    -166,       0
     111,      30,      -3,    -186,      -4
     487,       5,      -9,    -156,       2
      55,      -1,       3,    -141,       5
     144,      22,       4,    -161,       1
      30,       2,       2,     -86,      16
      18,       9,       0,    -156,       2
     511,       8,       9,    -141,       5
    4102,      10,      26,     -96,      14
    1397,      16,      15,     -51,      23
     914,      19,      12,     -86,      16
     319,      16,      -7,    -156,       2
    1375,       5,      15,    -236,     -14
    8714,       6,      38,     -46,      24
    2948,      11,      22,     -61,      21
    6186,       5,      32,    -101,      13
     270,      24,       6,    -156,       2
     779,      32,     -11,    -166,       0
     155,       5,      -5,     -81,      17
     612,      11,     -10,     -51,      23
      76,      25,       2,     -66,      20
      23,       9,      -1,    -136,       6
     763,      13,      11,    -141,       5
    4407,       3,      27,     -81,      17
     638,      14,      10,    -231,     -13
    5097,      11,      29,    -146,       4
     368,     -12,       8,     -61,      21
    1379,       7,      15,    -181,      -3
     517,      11,       9,    -121,       9
     203,      29,      -5,    -156,       2
      81,      12,       3,    -126,       8
    1773,      11,      17,     -91,      15
    2912,      -7,      22,    -141,       5
      79,      11,       3,    -171,      -1
     541,      23,       9,    -176,      -2
     695,     -21,      11,    -251,     -17
    2191,       3,      19,     -51,      23
     914,      19,      12,     -26,      28
    2946,      10,      22,     -51,      23
    1548,      -2,      16,     -31,      27
    1986,      12,      18,    -166,       0
    2488,      34,      20,     -86,      16
    1226,      18,      14,    -151,       3
     248,      13,       6,     -66,      20
      12,       6,       0,    -106,      12
     347,      23,       7,    -101,      13
     299,      -1,       7,     -41,      25
    1017,       8,     -13,    -121,       9
    1998,      18,      18,     -51,      23
    1743,      -4,      17,    -166,       0
     745,       4,      11,     -76,      18
     428,      18,       8,     -21,      29
    3791,       8,      25,    -156,       2
     234,       6,       6,    -121,       9
      45,      19,       1,     -96,      14
     106,       3,       4,    -181,      -3
    1765,       7,      17,     -41,      25
    1033,       3,      13,    -116,      10
    5107,      16,      29,    -166,       0
     876,       0,      12,    -161,       1
