      w0,      w1,       x,       z
     475,    -361,      -7,      14
    2351,    -131,      16,      -1
     265,    -271,       2,      15
    1523,    -441,     -15,       2
    2423,    -131,      16,       5
    1741,    -151,      14,       3
    1127,    -401,     -11,      14
    5702,     -71,      22,      18
     319,    -211,       8,      -3
    5497,     -61,      23,      10
    -100,    -261,       3,       9
    3116,    -131,      16,      16
     680,    -381,      -9,     -13
     176,    -251,       4,      12
    -149,    -331,      -4,      -9
    8420,     -11,      28,      14
    1361,    -351,      -6,      23
    4583,     -81,      21,      10
    -445,    -281,       1,      -2
    4646,     -81,      21,      11
    1345,    -181,      11,      12
    1403,    -171,      12,       9
    3904,     -91,      20,      -4
    2720,    -371,      -8,      30
    -457,    -291,       0,      -3
    3641,    -101,      19,       8
    3749,    -101,      19,      10
    6721,     -31,      26,       1
    1483,    -331,      -4,      25
    1061,    -231,       6,      19
     128,    -221,       7,       1
    3283,    -121,      17,      14
     800,    -221,       7,      15
     394,    -361,      -7,      13
    1021,    -181,      11,       6
    -344,    -331,      -4,      -4
    1670,    -161,      13,       9
    2096,    -141,      15,       5
    -430,    -281,       1,      -3
     425,    -221,       7,      10
     626,    -281,       1,      19
    -464,    -301,      -1,       3
    4838,     -71,      22,       6
    -151,    -261,       3,       8
    4805,     -71,      22,       5
    -113,    -361,      -7,       0
     323,    -321,      -3,      16
    -344,    -331,      -4,       4
    2021,    -141,      15,       0
    -256,    -251,       4,       0
     425,    -261,       3,      16
    2360,    -131,      16,       2
   14288,      69,      36,      20
    1213,    -391,     -10,      17
    3562,    -121,      17,      17
    3110,    -111,      18,      -4
   12307,      -1,      29,      36
     281,    -351,      -6,      13
    2797,    -151,      14,      19
     833,    -191,      10,       7
    -146,    -241,       5,       1
     557,    -221,       7,      12
    5696,     -51,      24,      -2
     -76,    -341,      -5,       9
    3562,    -121,      17,      17
    -151,    -261,       3,      -8
    3737,    -111,      18,      15
    2375,    -131,      16,      -3
    -202,    -321,      -3,       9
    3209,    -111,      18,       7
    2132,    -171,      12,      18
    1460,    -171,      12,      10
     125,    -221,       7,       0
    -256,    -251,       4,       0
    2048,    -381,      -9,      25
     934,    -391,     -10,      14
    1193,    -191,      10,      13
     421,    -391,     -10,       5
     794,    -191,      10,       6
      62,    -321,      -3,      13
    -418,    -321,      -3,       3
    -241,    -291,       0,       9
    1454,    -191,      10,      16
   10492,      29,      32,       8
     988,    -181,      11,      -5
     197,    -311,      -2,      15
    1744,    -211,       8,      22
    1174,    -241,       5,      21
    -146,    -241,       5,       1
    -445,    -281,       1,       2
    5389,     -61,      23,      -8
     961,    -181,      11,       4
    3062,    -111,      18,       0
    -472,    -291,       0,       2
    2243,    -171,      12,      19
   12361,      59,      35,       0
    4288,     -91,      20,      12
     383,    -371,      -8,      11
     281,    -351,      -6,      13
    4757,     -71,      22,       3
    1160,    -171,      12,       0
     554,    -201,       9,       5
    2354,    -201,       9,      25
    -472,    -291,       0,      -2
    2213,    -141,      15,       8
     562,    -361,      -7,      15
     368,    -221,       7,       9
    -472,    -291,       0,      -2
    2264,    -461,     -17,      -7
     481,    -301,      -1,      18
    6194,     -41,      25,       1
    6884,     -51,      24,      20
     292,    -211,       8,       0
    1439,    -161,      13,       2
     196,    -331,      -4,      14
     137,    -351,      -6,     -11
    2048,    -141,      15,       3
    4037,    -101,      19,      14
    -181,    -251,       4,       5
    6623,     -41,      25,      12
    1636,    -331,      -4,      26
    4723,     -91,      20,      17
    4430,     -81,      21,       7
    1060,    -181,      11,      -7
    6826,     -31,      26,       6
    -340,    -261,       3,       1
      97,    -271,       2,     -13
      79,    -361,      -7,       8
    1906,    -151,      14,       8
    1852,    -421,     -13,      17
    2399,    -161,      13,      18
    8264,     -11,      28,      12
    2686,    -151,      14,      18
     731,    -401,     -11,       8
    -383,    -301,      -1,       6
    -178,    -351,      -6,       4
    3883,     -91,      20,      -3
     689,    -191,      10,      -1
   14677,      89,      38,       5
    1160,    -171,      12,       0
    5443,     -91,      20,      23
     611,    -251,       4,      17
    2789,    -141,      15,      16
    -271,    -341,      -5,      -4
    1501,    -181,      11,      14
    8600,     -11,      28,      16
    2803,    -121,      17,       6
    -178,    -311,      -2,      10
    4124,    -101,      19,      15
    9074,       9,      30,       4
    1886,    -191,      10,      20
    6959,     -41,      25,      16
    -121,    -291,       0,      11
    4828,     -91,      20,      18
    1160,    -171,      12,       0
     554,    -201,       9,      -5
     358,    -241,       5,      13
     176,    -251,       4,      12
    8198,     -71,      22,      34
    -478,    -311,      -2,       0
    2069,    -141,      15,       4
    1748,    -171,      12,      14
     535,    -211,       8,       9
    2591,    -131,      16,       9
     980,    -261,       3,      21
    3856,     -91,      20,       0
     113,    -341,      -5,      12
    2581,    -151,      14,      17
     980,    -261,       3,      21
    5237,     -71,      22,      13
    3362,    -111,      18,      10
    7979,     -11,      28,       7
     557,    -221,       7,      12
    2696,    -141,      15,      15
     -74,    -241,       5,       5
     878,    -191,      10,       8
    3608,    -141,      15,      23
    1769,    -191,      10,      19
   17791,     119,      41,      16
    6169,     -61,      23,      18
     125,    -221,       7,       0
    5497,     -61,      23,      10
    1346,    -201,       9,      17
     389,    -311,      -2,      17
     373,    -391,     -10,      -3
    2561,    -191,      10,      25
    5056,     -91,      20,      20
    5030,     -71,      22,      10
     292,    -211,       8,       0
    9269,       9,      30,       9
    1577,    -221,       7,      22
     587,    -401,     -11,       4
    2780,    -411,     -12,      26
    -370,    -321,      -3,       5
     -59,    -301,      -1,      12
    1160,    -171,      12,       0
     913,    -181,      11,       0
     527,    -201,       9,      -4
    1276,    -181,      11,      11
    7430,     -71,      22,      30
    1681,    -181,      11,      16
    -397,    -321,      -3,       4
     589,    -391,     -10,       9
    4526,     -81,      21,       9
    1097,    -221,       7,      18
    3137,    -111,      18,       5
    2696,    -141,      15,      15
    2321,    -141,      15,      10
    -464,    -301,      -1,      -3
    1679,    -201,       9,      20
    3935,    -131,      16,      23
    4217,    -101,      19,      16
    2789,    -311,      -2,      33
    -409,    -291,       0,       5
    2714,    -191,      10,      26
    3209,    -111,      18,       7
     482,    -201,       9,      -1
    -344,    -301,      -1,       7
    4532,    -101,      19,      19
    1619,    -251,       4,      25
    2510,    -161,      13,      19
    2375,    -131,      16,      -3
     439,    -241,       5,      14
    -478,    -311,      -2,       0
   11666,      49,      34,       2
    1681,    -181,      11,      16
    -148,    -251,       4,       6
    2396,    -131,      16,       4
    2822,    -321,      -3,      33
    -337,    -321,      -3,       6
     778,    -391,     -10,      12
    1762,    -151,      14,       4
     152,    -221,       7,       3
     698,    -191,      10,       2
    -340,    -261,       3,       1
    2803,    -121,      17,       6
    2888,    -141,      15,      17
   10300,      29,      32,       0
    1822,    -151,      14,       6
    4124,    -101,      19,      15
    1501,    -181,      11,      14
     788,    -371,      -8,      16
    3419,    -251,       4,      35
    3215,    -131,      16,      17
     332,    -261,       3,      15
     562,    -361,      -7,      15
    -286,    -311,      -2,       8
    1544,    -291,       0,      26
     383,    -291,       0,      17
    1130,    -281,       1,      23
