      w0,       y,       z
     411,       9,      15
     504,      12,      18
     655,      19,      22
     280,      14,       7
      89,       5,       2
     356,      20,       8
     570,      12,      21
     506,      22,      14
     148,      14,       1
     222,      10,       6
      96,      -4,       6
     790,      12,      31
      87,      -5,       6
     627,      33,      15
      45,       5,       0
      54,       6,       0
      37,       9,      -2
     382,      18,      10
     334,      20,       7
     238,       2,      10
      74,      -4,       5
     106,       2,       4
     -81,      13,      -9
     430,      16,      13
     423,       3,      18
    -275,     -11,      -8
     199,       5,       7
     750,      10,      30
     615,      17,      21
     549,      17,      18
     659,      17,      23
     901,      17,      34
      98,       6,       2
     351,      -5,      18
     278,       4,      11
     178,      10,       4
     346,      14,      10
       5,       3,      -1
     662,      10,      26
     551,      27,      14
     513,      13,      18
    -129,      -7,      -3
     110,       0,       5
     279,       9,       9
     173,       7,       5
      89,       5,       2
      99,      11,       0
    -294,       4,     -15
     575,      37,      11
     301,       9,      10
     407,      11,      14
     404,      18,      11
     430,      16,      13
     928,      20,      34
     232,      16,       4
      23,       5,      -1
     721,      19,      25
    -265,      -5,     -10
     313,       3,      13
     689,      13,      26
     241,      17,       4
     -68,      12,      -8
      16,      -8,       4
      76,       6,       1
     105,      19,      -3
     128,     -20,      14
     486,      10,      18
     514,      18,      16
     143,      11,       2
     423,       3,      18
      57,      -1,       3
     406,       6,      16
     458,       2,      20
     232,      16,       4
     691,       1,      31
     452,      16,      14
       4,      -2,       1
     472,       6,      19
     340,       6,      13
      37,       9,      -2
     267,      15,       6
     311,      15,       8
     -99,      11,      -9
     327,       7,      12
      12,      16,      -6
     634,      24,      19
    -387,       1,     -18
     352,       0,      16
      51,      -9,       6
     320,      16,       8
     693,      11,      27
     -30,       4,      -3
      64,      12,      -2
     664,      20,      22
      54,       6,       0
     457,      19,      13
     624,      18,      21
     348,      24,       6
     317,       1,      14
     479,      -3,      23
     248,       8,       8
     889,       1,      40
      57,      -1,       3
     203,      25,      -1
    -129,      15,     -12
     524,      24,      14
      71,       3,       2
       9,       1,       0
     597,      15,      21
     197,      17,       2
     188,      16,       2
     574,      10,      22
     126,      14,       0
     252,      28,       0
     479,      -3,      23
     487,      -7,      25
     350,      12,      11
     141,      23,      -3
     286,       0,      13
     163,       1,       7
     488,      20,      14
    -242,       0,     -11
     352,       0,      16
     315,      13,       9
     -54,      16,      -9
     393,       7,      15
     114,      20,      -3
     452,      38,       5
     645,      13,      24
     446,       8,      17
     290,      20,       5
     363,      11,      12
     298,      16,       7
     -66,       0,      -3
     393,       7,      15
       0,       0,       0
     521,      31,      11
      58,       4,       1
     442,      10,      16
     162,      18,       0
     442,      10,      16
     -35,       1,      -2
     708,      20,      24
     441,       5,      18
     464,      10,      17
     115,       3,       4
     198,       0,       9
     319,      11,      10
     376,      10,      13
     657,       7,      27
     890,       6,      38
     699,      19,      24
     235,       9,       7
     365,      -1,      17
     260,      24,       2
     477,       9,      18
     254,      16,       5
     509,      15,      17
     565,       9,      22
     458,       2,      20
     559,      23,      16
      39,      19,      -6
     423,       3,      18
    -161,     -13,      -2
     349,       7,      13
     587,       9,      23
     558,      -4,      27
     104,      14,      -1
     -12,       6,      -3
     157,      15,       1
     -15,      13,      -6
     472,       6,      19
     300,      26,       3
    -166,       6,     -10
     618,      10,      24
      58,       4,       1
     152,      12,       2
    -102,      18,     -12
     211,      21,       1
     403,      13,      13
     223,      15,       4
     464,      10,      17
     678,       2,      30
      92,      -2,       5
     444,      -2,      21
     198,      22,       0
     569,       7,      23
     -66,       0,      -3
     460,      12,      16
     463,       5,      19
     494,      28,      11
     278,       4,      11
     933,      23,      33
     515,      23,      14
     311,      15,       8
     794,      10,      32
      24,      10,      -3
     267,      15,       6
     135,      15,       0
      75,       1,       3
     -70,       2,      -4
     303,      19,       6
     582,       6,      24
     401,       3,      17
     437,      29,       8
      28,      30,     -11
     -42,      10,      -6
     346,      14,      10
     233,      21,       2
      96,      -4,       6
     444,      20,      12
     243,       5,       9
     369,      19,       9
       3,      15,      -6
     571,      17,      19
     448,      18,      13
     375,       5,      15
     567,      19,      18
     381,      13,      12
     551,       5,      23
     365,      -1,      17
     238,      24,       1
     578,      30,      14
       3,      -7,       3
     -21,       5,      -3
     493,       1,      22
     -48,       2,      -3
       8,      18,      -7
     169,       9,       4
     598,      20,      19
     450,       6,      18
     593,      17,      20
     529,       5,      22
     380,       8,      14
     674,       4,      29
     360,      -4,      18
     -44,       0,      -2
     487,      15,      16
     854,      24,      29
     -72,      14,      -9
     380,       8,      14
      43,      -5,       4
      13,      -1,       1
     525,       7,      21
     546,       2,      24
     307,      -5,      16
     375,       5,      15
     703,      17,      25
     615,      -5,      30
     263,      17,       5
     447,      13,      15
      36,       4,       0
     461,      17,      14
     182,     -14,      14
     296,       6,      11
     -56,       6,      -5
     330,       0,      15
     372,      12,      12
     296,      28,       2
     184,      -4,      10
     296,       6,      11
     531,      15,      18
     764,      14,      29
      76,       6,       1
     358,       8,      13
     433,       9,      16
     222,     -12,      15
     105,      -3,       6
     216,      24,       0
     358,       8,      13
     516,       6,      21
      81,       9,       0
     439,      39,       4
     322,       4,      13
     -28,      14,      -7
     136,      -2,       7
     381,      13,      12
     -22,       0,      -1
     509,      37,       8
     239,      29,      -1
     242,       0,      11
     689,      13,      26
     617,      27,      17
     -30,       4,      -3
     483,      17,      15
     659,      17,      23
     767,      29,      23
     852,      14,      33
       5,       3,      -1
     243,      27,       0
    -238,      -2,     -10
      56,      16,      -4
     578,       8,      23
     340,       6,      13
     244,      10,       7
     709,      25,      22
     478,      36,       7
     209,      11,       5
     244,      10,       7
     288,      10,       9
     110,       0,       5
     140,      -4,       8
     355,      -7,      19
     515,       1,      23
     489,       3,      21
     134,      10,       2
     -91,       7,      -7
      44,       0,       2
      81,       9,       0
     480,       2,      21
     426,      18,      12
     265,       5,      10
     -12,       6,      -3
    -106,      -2,      -4
    -245,       7,     -14
     528,       0,      24
     962,      14,      38
     388,      26,       7
     221,       5,       8
      20,     -10,       5
     589,      -3,      28
     284,      12,       8
     528,      22,      15
     340,       6,      13
       4,      20,      -8
     544,      14,      19
     327,      29,       3
     542,       4,      23
     256,      26,       1
     118,      18,      -2
     375,      27,       6
     440,       0,      20
     296,      28,       2
     111,       5,       3
     -96,       4,      -6
     505,      17,      16
      67,       5,       1
     479,      19,      14
       1,       5,      -2
     238,       2,      10
     348,       2,      15
     432,      26,       9
     616,      22,      19
     -18,      -2,       0
     472,       6,      19
     326,       2,      14
     185,       1,       8
     517,      11,      19
    -312,       2,     -15
     158,      20,      -1
     233,      -1,      11
     268,      20,       4
     234,       4,       9
     505,      17,      16
     279,       9,       9
    1008,      24,      36
     300,      26,       3
      23,       5,      -1
