      w0,      w1,       x,       y,       z
    -413,     144,       8,      16,       0
    1240,       0,      18,       0,      19
    -354,     189,      15,      21,       0
   -1903,      81,      17,       9,     -19
     137,       9,      18,       1,       6
    -196,      45,       7,       5,       6
     844,     153,      21,      17,      12
    1202,      81,      14,       9,      23
    -466,     -18,       0,      -2,       3
     -74,      36,      11,       4,       6
     732,      99,      23,      11,      10
    2002,     117,      22,      13,      23
     154,      99,      12,      11,       9
     197,     -27,      11,      -3,      11
    -557,     -18,       0,      -2,      -4
    -876,     207,     -10,      23,      13
     801,      63,       9,       7,      25
    -302,      45,      16,       5,       1
    -327,      90,      22,      10,       0
     636,      18,      14,       2,      15
   -1037,     135,       7,      15,     -15
     117,       9,      15,       1,       7
    -274,      81,      -1,       9,      24
     589,     117,      14,      13,      14
      63,      63,       4,       7,      18
    -476,      18,       3,       2,       0
     718,      99,       7,      11,      28
    2219,      27,      19,       3,      29
      94,     -63,      30,      -7,       3
    2830,      90,      23,      10,      30
     442,     144,       8,      16,      19
    -135,      90,       3,      10,      13
    -411,     -27,      -8,      -3,      -8
    -461,      63,       0,       7,       2
     734,      18,      18,       2,      13
    -838,     108,       7,      12,     -10
    -262,      81,       3,       9,       8
    1090,     117,      15,      13,      20
    -196,     225,      22,      25,       1
    1307,     108,      15,      12,      23
    1443,     144,      24,      16,      16
    -190,      72,       7,       8,       6
     797,     108,      11,      12,      21
     605,     -27,      19,      -3,      11
   -2035,      90,      28,      10,     -14
     -80,      36,       2,       4,      19
     427,     -45,      12,      -5,      14
    -543,     162,       0,      18,      -6
    -868,     324,      -7,      36,      26
    2222,     198,      22,      22,      25
     884,      90,      12,      10,      21
   -1368,     216,     -14,      24,      19
    -157,      -9,       3,      -1,      13
    -213,       9,       0,       1,      22
    -623,     153,       7,      17,      -5
    -416,      90,       0,      10,       5
    -281,     216,       7,      24,       3
    -659,    -153,      17,     -17,      -3
     619,     189,       6,      21,      28
    -155,     171,     -10,      19,     -14
    3705,      27,      30,       3,      30
    1171,     153,      15,      17,      21
      64,     117,       2,      13,      25
     378,       9,      12,       1,      13
      55,    -180,       8,     -20,      12
    -749,     162,      -6,      18,      22
     758,      27,      17,       3,      14
     166,     279,      17,      31,       6
    -295,     108,       0,      12,      14
   -1508,      99,     -12,      11,      27
    -183,     234,      16,      26,       2
     154,     -18,      22,      -2,       5
    -570,      18,      -4,       2,      15
    -140,     252,      11,      28,       4
    -448,      27,      -1,       3,       6
      33,       0,       1,       0,      31
    -166,     153,       6,      17,       7
    -151,      99,      12,      11,       4
    2428,     207,      46,      23,      13
    -370,     135,       5,      15,       2
     318,      63,      16,       7,       9
     697,      36,       9,       4,      23
     516,     162,      15,      18,      12
    -438,       0,       9,       0,       0
     249,     117,       4,      13,      24
    -566,     144,      -6,      16,       5
     379,     108,       6,      12,      22
    -522,      18,      -4,       2,      -1
    2053,     -18,      20,      -2,      26
    -817,     198,      -8,      22,      16
    -109,       9,       0,       1,      30
    -332,      36,       9,       4,       2
    -286,     216,      14,      24,       1
     124,     369,      15,      41,       6
     819,      72,      12,       8,      20
    -652,     162,      15,      18,      -4
    -368,      63,       2,       7,       5
    1491,      45,      17,       5,      23
    1444,     153,      13,      17,      28
     633,     252,       6,      28,      28
    -664,     315,       4,      35,      -9
    1230,      90,      15,      10,      22
    -660,     -36,      11,      -4,      -4
    1683,     180,      17,      20,      25
    -701,     225,      22,      25,      -4
     266,       0,      17,       0,       8
     887,     -90,      21,     -10,      13
    -188,     117,       2,      13,      13
   -1628,      54,     -15,       6,      22
     412,     171,       2,      19,      41
    1090,      72,      16,       8,      19
     218,     108,       4,      12,      23
    -546,      -9,      -4,      -1,       5
     260,     180,      18,      20,       7
     765,     180,       8,      20,      26
     189,     126,       5,      14,      19
     835,      90,       8,      10,      28
    -709,    -108,      -7,     -12,       9
   -1102,      18,      31,       2,      -6
    -340,     180,       3,      20,       4
    1078,      63,      15,       7,      20
    -119,     225,      29,      25,       1
    -380,      27,       4,       3,       3
     810,     180,      14,      20,      17
    -252,     126,       0,      14,      17
    -459,      63,       4,       7,       0
     -91,     216,      11,      24,       5
    1231,     279,      12,      31,      26
    -449,      27,      -2,       3,      12
    -331,     162,      11,      18,       1
    -301,     108,      10,      12,       2
     501,    -261,      12,     -29,      16
    1131,     -27,      15,      -3,      21
     -60,     -90,       8,     -10,       9
    1801,     135,      31,      15,      15
     226,     144,       4,      16,      23
     447,      54,      13,       6,      13
     624,      99,      11,      11,      18
    -648,     171,      -6,      19,      13
    -265,       0,       8,       0,       4
     833,     135,      12,      15,      20
    1463,      27,      11,       3,      33
      -9,     207,       3,      23,      17
    1007,     234,      13,      26,      21
    -444,    -153,       0,     -17,       7
     292,     126,      31,      14,       4
    -416,     198,      -2,      22,      11
    -387,     162,       0,      18,       6
     407,     108,      20,      12,       8
    1351,     135,      36,      15,      10
    -919,       0,      20,       0,      -6
    1881,      27,      22,       3,      22
    -518,      54,       3,       6,      -2
    1451,    -171,      21,     -19,      19
     808,     189,      16,      21,      15
     916,     117,      13,      13,      20
     691,     144,      11,      16,      19
      38,      27,      11,       3,       8
    1187,      36,       9,       4,      33
    -458,     135,       0,      15,       1
    -753,       9,       6,       1,      -8
    -101,     108,       4,      12,      12
    1372,      72,      15,       8,      24
     841,     117,      18,      13,      14
     894,      18,      13,       2,      20
     366,     -45,      12,      -5,      13
    -398,     108,       6,      12,       1
    -432,     135,       0,      15,       3
    -537,     126,       5,      14,      -3
    2729,      18,      25,       2,      27
     622,     279,      18,      31,      11
    -442,      45,       7,       5,       0
     683,     171,      18,      19,      12
    -617,     117,      10,      13,      -4
    -395,      90,       4,      10,       2
    1255,     180,      13,      20,      25
    -420,      18,       2,       2,       3
     439,     189,       4,      21,      30
    -532,     261,      10,      29,      -3
    -310,     108,       5,      12,       4
    -607,      -9,       3,      -1,      -5
    -592,     234,       0,      26,     -11
    -317,     198,       2,      22,       6
     324,      90,      16,      10,       9
    -552,     108,      -8,      12,       1
    -379,     297,       8,      33,       0
     771,      63,      24,       7,      10
    2802,      81,      22,       9,      31
     -55,     117,      16,      13,       4
    -165,     225,      13,      25,       3
    -666,      -9,       5,      -1,      -6
    1343,      90,      19,      10,      19
     453,      90,      19,      10,       9
    -444,      72,      18,       8,      -1
    -497,     108,      -3,      12,       1
    -490,       0,       8,       0,      -1
     674,     216,      15,      24,      14
     719,     135,       9,      15,      23
     495,     153,      22,      17,       8
    1113,     126,      13,      14,      23
     334,     135,      16,      15,       9
     671,     117,      18,      13,      12
    -584,     -99,      -4,     -11,      11
       6,     117,      13,      13,       6
   -1158,     -81,      18,      -9,      -9
    -770,     135,      13,      15,      -6
     954,     180,      17,      20,      16
    1815,     -27,      25,      -3,      19
      41,     135,      20,      15,       4
     202,     -72,      14,      -8,       9
     -96,     180,       5,      20,      10
    1067,     189,      23,      21,      13
    1139,     108,      14,      12,      22
    -895,      99,      27,      11,      -5
     139,     108,      15,      12,       7
    -171,       9,      12,       1,       4
    -377,     -99,       3,     -11,       5
    2392,     -45,      32,      -5,      19
   -2186,     -27,      28,      -3,     -15
     -20,     171,      17,      19,       4
    -442,     135,      -1,      15,       4
     181,     -54,      12,      -6,      10
    2948,     216,      38,      24,      19
    -736,      54,      14,       6,      -5
    1953,     144,      16,      16,      30
    1240,      54,      16,       6,      21
      91,     261,       1,      29,      31
    1778,      81,      33,       9,      14
    -488,      99,      -3,      11,      12
    -600,      45,      14,       5,      -3
    -910,     135,       8,      15,     -11
    1118,     189,      17,      21,      18
    -618,     207,      -6,      23,      11
    -414,     -63,      -1,      -7,      12
    1440,      72,       9,       8,      38
     387,     180,      17,      20,       9
    1986,     135,      24,      15,      21
    2443,     234,      19,      26,      31
    -357,     234,       1,      26,       5
    -469,     117,      -3,      13,      27
     743,     135,      21,      15,      11
   -1191,     -27,      -9,      -3,      27
    -453,     216,       0,      24,       0
    1348,     207,      24,      23,      15
    -500,     -27,       1,      -3,       0
     -80,     225,       3,      25,      14
    -310,      63,       1,       7,      10
    -300,     126,      -1,      14,      20
    -248,     261,       0,      29,      15
     926,      27,      16,       3,      17
    -550,     135,       3,      15,      -4
      90,     180,       1,      20,      32
    -724,      81,      21,       9,      -4
     418,     189,      12,      21,      13
    5249,     117,      42,      13,      30
    -473,      99,      -2,      11,       4
    -256,       0,       1,       0,      14
     222,     288,      22,      32,       5
    -624,     -18,      -5,      -2,      12
    -415,     270,      -2,      30,       8
     520,      90,      13,      10,      14
     337,     279,       8,      31,      16
    -303,     198,      22,      22,       0
    -353,     315,       0,      35,       6
    -500,      99,      -3,      11,       0
    1557,     261,      20,      29,      20
    -364,     207,      13,      23,       0
    -615,     144,       1,      16,      -9
     272,     108,       9,      12,      14
     258,      18,      12,       2,      11
     -94,     225,       9,      25,       6
    -376,      18,       3,       2,       4
   -1047,      18,       6,       2,     -16
    2350,      63,      20,       7,      29
     -58,     171,       4,      19,      13
   -1982,      90,      17,      10,     -20
     238,     225,      15,      25,       8
    -668,     270,      -8,      30,       9
    1260,     117,      19,      13,      18
     203,      18,       9,       2,      13
      -4,     189,       2,      21,      21
    -450,      54,       0,       6,       3
     813,      -9,      23,      -1,      11
    -257,     162,       0,      18,      16
      -1,       0,       7,       0,      11
    1860,      72,      16,       8,      29
     923,      81,       8,       9,      30
    1067,     189,      23,      21,      13
     295,     -99,      11,     -11,      13
     349,     108,      21,      12,       7
     881,     252,      13,      28,      19
       3,      45,      10,       5,       8
    2080,     135,      33,      15,      16
     528,     153,      14,      17,      13
    -305,     -18,      17,      -2,       1
    -311,     153,      13,      17,       1
    1184,     243,      23,      27,      14
    -503,     189,      18,      21,      -2
    -510,     -54,      -3,      -6,      24
       7,       9,       8,       1,      10
   -2356,      27,     -14,       3,      41
    1070,       0,      18,       0,      17
     233,     153,       9,      17,      13
    -622,     189,       1,      21,     -10
    -949,     234,      -9,      26,      19
    -304,     126,       0,      14,      13
     150,      18,      32,       2,       3
    -807,     -54,     -11,      -6,       7
    -465,     162,       0,      18,       0
    -492,     162,       1,      18,      -2
    -518,     279,       8,      31,      -3
    -500,     117,      -1,      13,      -2
    -118,      36,       6,       4,       9
    -201,     -45,      27,      -5,       1
    -537,     126,       5,      14,      -3
      52,      90,      26,      10,       3
     610,      90,      17,      10,      12
    -477,      72,      -4,       8,     -12
     424,     270,      10,      30,      15
    3199,       9,      27,       1,      29
    2208,     153,      24,      17,      23
    -552,     180,      -5,      20,       8
     221,      -9,       4,      -1,      24
    1784,      18,      21,       2,      22
    -684,      27,      -8,       3,       7
    -289,     162,      10,      18,       2
    -336,     207,      17,      23,       0
     842,      27,       9,       3,      26
     711,      45,      14,       5,      16
      87,     -63,       9,      -7,      11
     -55,     225,       3,      25,      15
    -142,     243,      11,      27,       4
    2045,    -144,      22,     -16,      24
    3089,     -54,      17,      -6,      43
   -2182,     126,     -21,      14,      22
    3973,      63,      29,       7,      33
     -93,     144,       4,      16,      12
    -212,      81,       3,       9,      10
    -833,      99,       3,      11,     -15
    -444,     -63,      -2,      -7,      17
     603,     180,      14,      20,      14
     636,      90,      21,      10,      10
