      w0,       x,       y
     273,      17,      13
    -277,      17,       2
     243,       3,      32
     169,      21,       9
    -501,       5,      -2
     133,       3,      27
      73,      17,       9
    -557,      -9,      12
     573,      17,      19
    -255,       0,      14
     523,      17,      18
     613,      11,      27
     163,       7,      20
    -191,      13,       5
    -367,       0,       7
    -271,       0,      13
    -347,       7,       3
     289,      16,      14
     -95,      19,       5
    -499,      -7,      11
    -483,      -6,       8
     -59,       5,      15
     169,      21,       9
    -527,      23,      -3
     373,      17,      15
   -1151,      16,     -16
     357,       9,      23
     -87,       3,      17
    -527,       1,      -3
    -367,      -4,      17
    -167,      22,       3
    -565,      -7,     -22
    -207,       2,      13
    -107,       7,      11
    -923,      25,      -9
      89,       6,      19
    -793,      11,     -10
     -51,       9,      11
     313,      12,      18
    1153,      27,      21
    -311,      -2,      15
     -47,      12,       9
     301,      10,      20
    -303,      20,       1
     133,      25,       7
    -501,       5,      -2
    -447,       0,       2
    -383,       0,       6
     807,      21,      20
    -813,     -19,      10
     343,      21,      12
     145,      20,       9
      17,      26,       5
    -437,       7,       0
     233,      12,      16
     265,      10,      19
     595,      25,      14
     223,       7,      22
    -701,      21,      -6
     313,      20,      12
     -47,      12,       9
    -743,       4,     -12
     309,      11,      19
     463,       7,      30
    -317,      -1,      12
     595,      25,      14
     -87,      14,       7
     241,       4,      29
     121,      28,       6
    1031,      33,      16
    -679,      11,      -7
     -79,      20,       5
    -303,       0,      11
   -1115,      13,     -17
    -463,       0,       1
     209,      15,      13
      89,       6,      19
     -15,      24,       5
    -295,      21,       1
    -187,       2,      14
    1265,      20,      29
     433,      32,       9
     -65,      13,       8
    -527,      -8,       7
     561,      26,      13
    -287,      -2,      17
     221,       9,      19
    -395,      14,       0
     517,      21,      15
    -545,       1,      -4
    -227,       7,       7
    1057,      16,      30
    -359,      -1,       9
      19,       5,      18
    -167,       1,      17
     273,      12,      17
     145,       8,      18
    -577,      17,      -4
    -287,       0,      12
      51,       9,      14
    -989,      13,     -14
    2377,      36,      30
     121,      28,       6
      45,       5,      19
    -263,       4,       8
    -605,     -11,      10
    -563,      -2,      -6
    1039,      21,      24
    -403,      -6,      28
    -319,      18,       1
     241,       8,      21
    -455,       1,       1
    -131,      10,       8
    -415,       6,       1
     -23,       6,      15
     -51,       9,      11
    -703,     -12,      19
    -511,      -7,       5
    -443,       6,       0
    -377,      17,       0
     523,      27,      12
     669,      15,      23
     -59,       5,      15
    -395,       3,       3
     775,      23,      18
    -591,       0,      -7
    -407,       4,       2
     697,      10,      31
    -383,      16,       0
    -197,       3,      12
     509,      29,      11
    -419,      -2,       6
    -285,       3,       8
    -905,     -17,      18
    -267,       5,       7
     873,      20,      22
    -415,      -1,       5
     485,      14,      20
      45,      14,      10
     769,      19,      21
     119,      11,      14
    -351,      14,       1
      89,      14,      11
     673,      17,      21
    -977,      17,     -12
   -1039,      24,     -11
      23,      17,       8
      61,      13,      11
    -143,       8,       9
    -425,       9,       0
     347,      15,      16
    -807,      12,     -10
     385,      16,      16
    -687,       2,     -11
    -451,      11,      -1
     529,      16,      19
     537,      11,      25
     769,      19,      21
    -311,      19,       1
     313,      27,       9
    -307,       3,       7
    -383,       1,       5
     133,      14,      12
     -87,      12,       8
    -437,      -5,      12
    1297,      16,      35
    -527,      -8,      11
   -1079,      15,     -15
    1441,      33,      21
    -163,      18,       4
    -399,       8,       1
    -241,       5,       8
    -677,       7,      -8
     255,      15,      14
      33,      20,       7
    1209,      20,      28
     721,      18,      21
     953,      29,      17
     273,       8,      22
     461,      18,      16
    -849,      15,     -10
    -111,       8,      10
    -135,       6,      11
    -629,       9,      -6
    -499,      -7,      11
    -159,       0,      20
    -587,       2,      -6
    -765,       9,     -10
    -119,       9,       9
    1989,      26,      34
    -493,      -7,      14
      25,       4,      20
    -203,      10,       6
     981,      21,      23
    -167,      10,       7
     337,      16,      15
     689,      24,      16
     663,       9,      32
    -329,       3,       6
     175,      19,      10
     481,      28,      11
     537,       6,      35
     -95,       0,      24
      13,      10,      12
    -469,      21,      -2
    -457,      -1,       2
     121,      10,      15
    -327,       2,       7
    -367,       8,       2
     913,      32,      15
    -327,       2,       7
    -401,      -1,       6
    -443,       6,       0
     -41,      19,       6
     565,      31,      11
     461,      18,      16
   -1517,      25,     -18
      43,       7,      16
     713,      12,      28
    -541,      -1,      -4
     565,       6,      36
      33,      20,       7
     823,      19,      22
      45,      14,      10
    -603,      11,      -5
     283,       7,      24
    -207,       0,      17
    -479,      -2,       1
     145,       6,      21
     201,       5,      25
    -149,      19,       4
    -923,      25,      -9
    -653,      13,      -6
     -47,      16,       7
    -287,       0,      12
    -131,      14,       6
     227,      21,      10
    -879,     -16,      19
    -515,      -2,      -2
     485,      15,      19
    -577,      -3,      -8
     -85,       5,      14
    1293,      27,      23
    -207,       8,       7
    -383,       1,       5
      45,       3,      23
    -367,       8,       2
    -847,       8,     -13
     357,      26,      10
     -77,      17,       6
     833,      12,      31
    -127,      12,       7
     607,      19,      18
       5,      11,      11
     213,      29,       7
    -501,       5,      -2
    -467,      -3,       3
    -527,      -8,       6
    -207,      32,       1
      81,      30,       5
    -447,      -6,      17
    -719,       8,      -9
      -7,      12,      10
     145,       4,      25
    -345,      -1,      10
    -553,       5,      -4
    -163,       6,      10
    -459,       9,      -1
    -267,      18,       2
    -167,       4,      12
    -303,       8,       4
    -507,      -3,      -1
     793,      14,      27
    -163,       5,      11
     -71,      11,       9
    -167,       2,      15
     873,      20,      22
     199,      25,       8
    -207,       0,      17
      61,       6,      18
    -175,       3,      13
      71,      15,      10
    -287,       0,      12
    -599,      10,      -5
    -299,      30,       0
      13,      10,      12
    -377,       7,       2
     -27,       2,      22
     859,      25,      18
      13,      10,      12
      73,      17,       9
    -783,       8,     -11
    -399,       8,       1
    -187,       2,      14
    -219,       6,       8
     305,      18,      13
    -791,      14,      -9
    -551,      -6,      -9
      81,      11,      13
     173,      17,      11
    -335,       0,       9
     553,      22,      15
    -207,       2,      13
     273,      17,      13
     913,      37,      13
     -65,      13,       8
     337,      16,      15
    -359,      -5,      25
    -131,       3,      15
    -671,      10,      -7
     529,      16,      19
    -327,      17,       1
    -143,       0,      21
     593,      12,      25
    1713,      32,      25
    -121,      21,       4
    -295,      21,       1
    -191,       0,      18
   -1147,      23,     -13
    -167,       1,      17
      25,      15,       9
     273,       8,      22
     337,       8,      24
    2065,      40,      24
    -367,      12,       1
     139,      29,       6
    -617,       7,      -6
    -241,       3,      10
     661,      14,      24
     153,       2,      31
    -449,       5,       0
    -367,       0,       7
    -299,      11,       3
    -175,       8,       8
    -307,      -3,      19
     373,      17,      15
    -131,      10,       8
     133,      14,      12
    -419,      -5,      15
      -7,      12,      10
     -27,      17,       7
     289,      16,      14
     423,      11,      22
    -483,      -7,      19
      19,       5,      18
    -287,      -3,      21
     573,      17,      19
    -663,     -12,      14
     221,       9,      19
     301,      15,      15
    -391,       9,       1
     255,      15,      14
      97,       5,      21
    -219,       6,       8
    -503,      -5,       1
     715,      15,      24
    -223,      30,       1
    -299,      11,       3
    -477,      -7,      22
     221,      26,       8
    -447,      -3,       5
    -395,      14,       0
    -401,      13,       0
     113,       8,      17
    -575,       4,      -5
    -419,      -5,      15
     753,      32,      13
    -367,      32,      -1
    -549,      -9,       8
     553,      22,      15
     661,      25,      15
    -295,      21,       1
    -359,      20,       0
    -463,       0,       1
    -397,       5,       2
     481,      13,      21
    -233,      13,       4
     153,      12,      14
    -107,      22,       4
    -487,       2,      -1
     673,       7,      37
    -335,       8,       3
    1013,      14,      32
     985,      34,      15
     673,      32,      12
    -299,      -2,      16
    -143,       8,       9
    -317,      13,       2
     517,      21,      15
     113,      12,      13
    1323,      17,      34
    -735,     -12,      23
    1849,      28,      30
      97,      31,       5
      -7,      12,      10
      19,       5,      18
    1155,      21,      26
    -341,      23,       0
   -1359,      18,     -19
    -137,       7,      10
    -335,      -2,      13
    -487,      -4,       2
