      w0,       y,       z
     105,      28,      15
     -79,      -3,       9
     107,       6,      24
      -7,      15,       9
      31,      -3,      20
     -49,      17,       4
      53,      30,       9
    -121,       4,       2
    -143,      16,      -5
      87,      11,      20
      21,       7,      15
    -193,       1,      -4
      59,      19,      14
       3,       5,      14
     -47,       5,       9
     -91,      -1,       7
      27,      16,      12
     -61,      -1,      10
     151,      17,      24
     -71,      -1,       9
    -167,     -10,       3
      23,      15,      12
      51,      17,      14
    -133,       6,       0
      29,      29,       7
    -117,      15,      -2
     -35,       8,       9
    -249,     -18,      -2
     229,      24,      29
      61,      17,      15
     -77,      20,       0
     -75,      13,       3
       1,       7,      13
     -95,      13,       1
    -101,     -16,      12
     -39,       2,      11
     143,      20,      22
     -47,      15,       5
      77,       6,      21
     -29,      22,       4
    -101,       4,       4
     175,      23,      24
     -81,      24,      -2
     -41,      14,       6
     195,      18,      28
      -9,       7,      12
     -49,      12,       6
     -81,       4,       6
     -47,       5,       9
    -189,       7,      -6
    -113,       6,       2
     263,      35,      28
      81,       2,      23
      63,      30,      10
    -173,       1,      -2
    -113,      -4,       6
     131,      22,      20
      81,      12,      19
     117,      16,      21
      53,      25,      11
      13,       5,      15
    -175,      -7,       1
     -21,       9,      10
      79,      14,      18
     213,       5,      35
      21,      17,      11
      57,      11,      17
     -49,      -8,      14
      59,      19,      14
     -19,      17,       7
     153,      10,      27
      83,      30,      12
    -167,      -5,       1
      21,       7,      15
     -71,      24,      -1
     -87,      10,       3
      89,       9,      21
    -125,      23,      -6
      33,      -5,      21
    -123,      -9,       7
    -203,      16,     -11
     -55,       8,       7
      15,      43,       0
      31,       2,      18
     237,      11,      35
     143,      15,      24
    -125,       3,       2
     101,      12,      21
     139,      24,      20
     -29,       7,      10
      -7,      10,      11
     183,       5,      32
     137,       6,      27
     -37,      10,       8
       7,       1,      16
      -9,      12,      10
    -195,     -17,       3
    -137,       5,       0
     125,      38,      13
     147,      11,      26
     159,      29,      20
     -23,      16,       7
      95,      13,      20
     -61,      24,       0
     119,      14,      22
      77,       1,      23
     -81,       4,       6
      69,       9,      19
     -15,      -2,      15
     287,      26,      34
     -81,       4,       6
    -197,      -5,      -2
     -11,       4,      13
    -227,       0,      -7
    -179,      32,     -15
     -81,      19,       0
     191,      17,      28
    -183,       6,      -5
      -1,       9,      12
      13,       0,      17
     -85,      -2,       8
     -49,       7,       8
     -87,       0,       7
    -109,      -8,       8
      97,      11,      21
     -49,       2,      10
      -3,      21,       7
     107,       1,      26
       3,      25,       6
      65,      18,      15
       3,       0,      16
      -7,       5,      13
    -169,      -3,       0
    -139,       7,      -1
    -137,       0,       2
      79,      19,      16
    -241,       9,     -12
    -215,      -2,      -5
     -87,      20,      -1
     113,      20,      19
     -29,      12,       8
    -327,       0,     -17
      89,       4,      23
      69,      24,      13
    -115,      23,      -5
     103,       0,      26
      -3,      11,      11
     -79,       2,       7
    -187,       5,      -5
    -117,      -5,       6
     -87,      10,       3
      99,      -1,      26
    -273,       6,     -14
     121,      27,      17
    -115,       8,       1
      33,       0,      19
     -81,      14,       2
    -171,      -6,       1
     -35,      13,       7
     -41,      29,       0
     -61,       9,       6
    -119,       2,       3
      61,      -3,      23
     -91,       4,       5
      73,      10,      19
    -169,       7,      -4
       5,       8,      13
    -113,      11,       0
       7,       1,      16
     -27,       0,      13
      59,       9,      18
    -161,      14,      -6
       1,      27,       5
     -53,       1,      10
      69,       4,      21
      89,      24,      15
     215,      18,      30
     -27,      -5,      15
     111,      -3,      28
    -125,       3,       2
    -273,      16,     -18
      -3,      31,       3
      33,       5,      17
    -149,      12,      -4
    -291,      24,     -23
     -17,       5,      12
     103,      20,      18
     -83,       6,       5
      29,      19,      11
      61,      32,       9
     -41,       9,       8
    -179,      17,      -9
     -61,      34,      -4
     135,      18,      22
    -141,     -11,       6
     201,      22,      27
     -69,      -3,      10
      75,      18,      16
     -79,       7,       5
      27,      11,      14
     -53,       6,       8
    -129,       7,       0
      63,      10,      18
      77,      16,      17
      65,      -7,      25
     -23,       6,      11
     -83,       1,       7
    -111,       4,       3
     -19,       7,      11
     115,       3,      26
     -45,      18,       4
     -75,      -2,       9
     243,      15,      34
     293,      25,      35
    -213,      -4,      -4
     143,      20,      22
      -5,      28,       4
     139,      14,      24
     -35,      -7,      15
      39,       4,      18
      97,      31,      13
     139,      24,      20
     -61,      19,       2
     -33,      16,       6
      -1,      14,      10
     119,      29,      16
     -13,      21,       6
      -1,      19,       8
      57,       1,      21
    -351,     -11,     -15
     -23,      11,       9
     -93,      21,      -2
    -157,       0,       0
      11,      12,      12
    -227,      -5,      -5
     -67,       5,       7
      97,      36,      11
     -93,       6,       4
      -5,       3,      14
     185,      18,      27
    -133,       6,       0
      73,      15,      17
     121,      -3,      29
      -7,      30,       3
       7,      11,      12
      -7,      30,       3
     125,      23,      19
     145,      33,      17
     -45,      23,       2
     -73,       6,       6
     -55,      13,       5
      67,      21,      14
     -47,       0,      11
     -47,       5,       9
     -79,      -3,       9
     -79,      17,       1
      25,      13,      13
     111,      12,      22
     211,      12,      32
    -155,      -7,       3
      61,      17,      15
     101,      12,      21
     107,      16,      20
    -101,      -1,       6
     173,      20,      25
    -165,      23,     -10
    -155,       8,      -3
      21,       7,      15
      13,       0,      17
     -95,       8,       3
      41,      27,       9
     -95,       3,       5
      85,      18,      17
    -227,      -5,      -5
     -91,      -1,       7
     -63,      16,       3
      77,       6,      21
      15,      18,      10
     -97,      10,       2
     -83,       1,       7
     201,      12,      31
     111,      22,      18
    -119,      12,      -1
    -139,       7,      -1
      17,      -4,      19
    -201,       4,      -6
      13,      25,       7
      75,       8,      20
    -145,      13,      -4
      -3,      16,       9
     -51,      14,       5
     -13,      16,       8
     -37,      10,       8
     -33,      -4,      14
      99,       9,      22
    -177,      -5,       0
      17,      31,       5
     -15,       3,      13
    -107,       0,       5
    -159,       2,      -1
     113,       5,      25
     -83,      21,      -1
      -7,      10,      11
    -115,      -2,       5
    -113,      11,       0
    -123,     -14,       9
      35,       3,      18
      43,      15,      14
     -49,       7,       8
       7,      -4,      18
     -73,       1,       8
     -17,       0,      14
      43,      -5,      22
      65,      23,      13
     -13,      26,       4
     107,       1,      26
      53,      10,      17
     -41,      14,       6
      37,      11,      15
      43,      25,      10
     -19,      17,       7
    -151,       9,      -3
      27,       6,      16
     -69,       7,       6
     175,      23,      24
      45,      -2,      21
     -87,     -10,      11
      95,      13,      20
     -37,       0,      12
      33,      15,      13
      63,       5,      20
    -141,       4,       0
     105,       3,      25
    -253,      -4,      -8
    -157,       0,       0
     -25,      23,       4
    -223,       1,      -7
     -69,      12,       4
    -303,      -9,     -11
    -167,       5,      -3
     -39,       7,       9
       5,      18,       9
      33,      15,      13
     123,      30,      16
     -85,       8,       4
     -29,      27,       2
    -123,       1,       3
     -19,      12,       9
     259,      24,      32
     -61,      14,       4
    -161,      -6,       2
     -83,      16,       1
      77,      16,      17
     -75,      -7,      11
     -99,      22,      -3
     -39,      17,       5
     187,      26,      24
     -57,      15,       4
    -219,       7,      -9
     105,      13,      21
     -55,       3,       9
      19,      -6,      20
      55,      23,      12
     -65,      28,      -2
      91,       7,      22
      47,      11,      16
      71,      27,      12
      37,      21,      11
    -141,       4,       0
     -49,       7,       8
     -65,      13,       4
    -199,       2,      -5
      79,      29,      12
      89,      14,      19
    -131,      -1,       3
     -63,      11,       5
     -29,      12,       8
      -3,       6,      13
     133,       5,      27
     -33,      11,       8
      15,       3,      16
       3,       0,      16
      69,      14,      17
    -269,       2,     -12
     -23,       6,      11
      59,      -6,      24
     261,      17,      35
    -131,       4,       1
     -61,       9,       6
      23,       5,      16
    -125,       8,       0
      37,       6,      17
     -69,      12,       4
      35,      23,      10
     -55,       8,       7
     -87,     -10,      11
     -19,      22,       5
     103,      20,      18
    -143,       1,       1
      81,       7,      21
      71,      17,      16
       3,      15,      10
     -51,       4,       9
    -167,      15,      -7
